Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
,L3,API Development (Back-End),164000,"New York, NY ",2022-03-09,1 , 8,139000 , 14000 , 11000
Fieldwire,L3,Full Stack,190000,"San Francisco, CA ",2022-03-09,0 , 8,165000 , N/A , 25000
Amazon,SDE II,Web Development (Front-End),262000,"San Francisco, CA ",2022-03-08,0 , 8,185000 , 21000 , 56000
Microsoft,64,DevOps,229000,"Redmond, WA ",2022-03-07,4 , 8,175000 , 22000 , 32000
Adobe,Software Engineer 4,Site Reliability (SRE),254000,"San Jose, CA ",2022-03-07,5 , 8,163000 , 71000 , 20000
Salesforce,Lead MTS,Distributed Systems (Back-End),395000,"San Francisco, CA ",2022-03-06,0 , 8,245000 , 88000 , 62000
eBay,SE 3,API Development (Back-End),255000,"San Francisco, CA ",2022-03-06,1 , 8,155000 , 100000 , N/A
,senior level,Web Development (Front-End),200000,"Los Angeles, CA ",2022-03-06,2 , 8,180000 , N/A , 20000
Amazon,SDE II,API Development (Back-End),297000,"Seattle, WA ",2022-03-05,5 , 8,180000 , 63000 , 54000
Carta,L5,Distributed Systems (Back-End),223000,"Seattle, WA ",2022-03-04,0 , 8,200000 , 23000 , N/A
American Express,engineer i,iOS,190000,"New York, NY ",2022-03-04,6 , 8,171000 , N/A , 19000
Lyft,T5,Security,428000,"Seattle, WA ",2022-03-04,1 , 8,218000 , 210000 , N/A
SAP,T3,Testing (SDET),151000,"San Ramon, CA ",2022-03-04,5 , 8,130000 , 6000 , 15000
Netflix,Senior Software Engineer,Distributed Systems (Back-End),660000,"Austin, TX ",2022-03-03,0 , 8,660000 , N/A , N/A
ViacomCBS,Lead,Full Stack,230000,"Los Angeles, CA ",2022-03-03,1 , 8,200000 , N/A , 30000
Amazon,SDE I,Distributed Systems (Back-End),178000,"Seattle, WA ",2022-03-03,2 , 8,130000 , 48000 , N/A
Vimeo,Senior,Distributed Systems (Back-End),196000,"New York, NY ",2022-03-02,2 , 8,169000 , 13000 , 14000
Relativity,L6,Full Stack,300000,"Chicago, IL ",2022-03-02,4 , 8,180000 , 100000 , 20000
Happy Cog,l3,Full Stack,115000,"New York, NY ",2022-03-02,7 , 8,115000 , N/A , N/A
Netflix,Senior Software Engineer,API Development (Back-End),565000,"Los Gatos, CA ",2022-03-02,3 , 8,565000 , N/A , N/A
Facebook,E5,Full Stack,425000,"Seattle, WA ",2022-03-01,2 , 8,195000 , 200000 , 30000
