Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Microsoft,60,,160000,"Redmond, WA ",2022-03-08,3 , 3,120000 , 25000 , 15000
Cepheid,L3,,145000,"Sunnyvale, CA ",2022-03-07,1 , 3,129000 , 3000 , 13000
Amazon,L4,Business Development,130000,"Seattle, WA ",2022-02-14,3 , 3,83000 , 27000 , 20000
Google,L3,UX,150000,"Chicago, IL ",2022-02-11,1 , 3,150000 , N/A , N/A
Nexthink,L3,Customer Marketing,145000,"Boston, MA ",2022-02-10,3 , 3,135000 , N/A , 10000
Amazon,L4,Technical Support,67000,"Chicago, IL ",2022-02-09,3 , 3,63000 , 4000 , N/A
Salesforce,5,Business Technology,84000,"Seattle, WA ",2022-02-07,3 , 3,80000 , N/A , 4000
Akamai,L1,Program management,127000,"Boston, MA ",2022-02-03,1 , 3,115000 , N/A , 12000
Microsoft,61,Azure,184000,"Redmond, WA ",2022-02-01,0 , 3,140000 , 30000 , 14000
Zillow,P3,general,95000,"Seattle, WA ",2022-01-29,2 , 3,85000 , 10000 , N/A
Discover,L8,Product,125000,"Chicago, IL ",2022-01-28,1 , 3,115000 , N/A , 10000
Microsoft,62,Azure Core,228000,"Redmond, WA ",2022-01-28,0 , 3,150000 , 38000 , 40000
Western Digital,P106,Industrial,112000,"Milpitas, CA ",2022-01-05,2 , 3,100000 , 2000 , 10000
Microsoft,63,General,240000,"Redmond, WA ",2022-01-02,0 , 3,160000 , 20000 , 60000
Facebook,IC4,Infra,206000,"Fremont, CA ",2021-12-27,1 , 3,155000 , 35000 , 16000
Box,Program Manager II,General,205000,"Redwood City, CA ",2021-12-17,0 , 3,160000 , 35000 , 10000
,L4,Data,165000,"Denver, CO ",2021-12-15,2 , 3,150000 , N/A , 15000
Google,L4,General,205000,"Mountain View, CA ",2021-12-06,3 , 3,136000 , 46000 , 24000
Uber,L4,Privacy,219000,"San Francisco, CA ",2021-11-23,0 , 3,144000 , 60000 , 15000
Zillow,P4,tpm,230000,"Seattle, WA ",2021-11-21,1 , 3,180000 , 50000 , N/A
Ansys,Application Engineer II,General,124000,"Seattle, WA ",2021-11-17,3 , 3,103000 , 6000 , 15000
Amazon,L5,DevOps,194000,"Los Angeles, CA ",2021-10-28,1 , 3,140000 , 32000 , 22000
Fastly,L3,Security,190000,"Los Angeles, CA ",2021-10-24,1 , 3,130000 , 60000 , N/A
Apple,ICT3,General,160000,"Cupertino, CA ",2021-10-23,3 , 3,130000 , 20000 , 10000
Rivian,L5,Analytics,124000,"Irvine, CA ",2021-09-14,3 , 3,124000 , N/A , N/A
Apple,L4,General,251000,"Cupertino, CA ",2021-09-08,3 , 3,146000 , 90000 , 15000
Apple,ICT3,iOS,215000,"Cupertino, CA ",2021-08-30,3 , 3,150000 , 50000 , 15000
Microsoft,61,Cloud,221000,"Seattle, WA ",2021-07-06,2 , 3,131000 , 70000 , 20000
Amazon,L5,Physical Stores,223000,"Seattle, WA ",2021-06-29,0 , 3,149000 , 30000 , 44000
Accenture,Manager,Quantum Computing,202000,"Los Angeles, CA ",2021-06-07,3 , 3,178000 , 2000 , 21000
Microsoft,63,General,183000,"Redmond, WA ",2021-05-24,3 , 3,148000 , 13000 , 22000
Google,L3,General,134000,"New York, NY ",2021-05-14,2 , 3,103000 , 16000 , 15000
Amount,L1,,68000,"Chicago, IL ",2021-04-30,1 , 3,65000 , 3000 , N/A
Nielsen,unknown,Agile,85000,"Chicago, IL ",2021-04-13,3 , 3,85000 , N/A , N/A
PayPal,NA,Project Manager,94000,"Chicago, IL ",2021-04-08,0 , 3,94000 , N/A , N/A
Uber,Software Engineer II,General,295000,"San Francisco, CA ",2021-03-31,0 , 3,175000 , 96000 , 23000
Microsoft,61,General,183000,"Redmond, WA ",2021-03-04,3 , 3,135000 , 30000 , 18000
Facebook,IC4,Infrastructure,230000,"Menlo Park, CA ",2021-02-23,3 , 3,160000 , 40000 , 30000
Kraken,L3,iOS,120000,"San Francisco, CA ",2021-01-13,0 , 3,120000 , 4000 , N/A
Amazon,L5,API Development (Back-End),221000,"Sunnyvale, CA ",2020-12-27,0 , 3,165000 , 30000 , 25000
Microsoft,62,Data,150000,"Redmond, WA ",2020-12-01,2 , 3,135000 , 8000 , 12000
Amazon,L5,Hardware,215000,"Sunnyvale, CA ",2020-11-18,3 , 3,148000 , 49000 , 18000
Google,L4,Cloud,180000,"Los Angeles, CA ",2020-10-16,0 , 3,117000 , 50000 , 17000
Google,L4,Android,197000,"Mountain View, CA ",2020-10-12,3 , 3,137000 , 35000 , 25000
Wayfair,L3,Data,166000,"Boston, MA ",2020-09-08,3 , 3,126000 , 32000 , 8000
Cisco,G6,e-commerce,151000,"San Jose, CA ",2020-09-01,3 , 3,116000 , 25000 , 10000
Northrop Grumman,M2,General Engineering,144000,"Azusa, CA ",2020-08-19,3 , 3,144000 , N/A , 1000
Google,4,Full Stack,247000,"Mountain View, CA ",2020-07-06,0 , 3,150000 , 75000 , 23000
Tesla,Senior Engineer,Program Management,175000,"Palo Alto, CA ",2020-06-12,2 , 3,140000 , 25000 , 10000
Amazon,L5,Finance,150000,"Seattle, WA ",2020-03-18,3 , 3,110000 , 40000 , N/A
Amazon,L5,Hardware,225000,"Sunnyvale, CA ",2020-03-10,3 , 3,135000 , 90000 , N/A
