Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
The New York Times Company,L3,Full Stack,402000,"New York, NY ",2022-03-05,10 , 18,235000 , 120000 , 47000
Stripe,L5,Infrastructure,890000,"San Francisco, CA ",2022-02-23,1 , 18,230000 , 660000 , N/A
Amazon,L6 SDM,Distributed Systems (Back-End),550000,"Palo Alto, CA ",2022-02-19,0 , 18,185000 , 200000 , 165000
Bloomberg,TL,Distributed Systems (Back-End),416000,"New York, NY ",2022-02-18,12 , 18,320000 , N/A , 96000
VMware,M4,DevOps,380000,"Boston, MA ",2022-02-13,8 , 18,250000 , 80000 , 50000
Cruise,Engineering Manager,Platform,446000,"San Francisco, CA ",2022-02-12,1 , 18,226000 , 150000 , 70000
Oracle,M3,Security,400000,"Seattle, WA ",2022-02-07,2 , 18,200000 , 190000 , 10000
Amazon,L6 SDM,Full Stack,430000,"San Jose, CA ",2022-02-03,2 , 18,185000 , 245000 , N/A
Facebook,M2,AR / VR,1000000,"Seattle, WA ",2022-01-24,0 , 18,290000 , 638000 , 73000
Microsoft,66,Distributed Systems (Back-End),358000,"Redmond, WA ",2022-01-19,14 , 18,233000 , 80000 , 45000
Cognizant,L5,Full Stack,136000,"Orange, CA ",2022-01-18,15 , 18,126000 , N/A , 10000
Expedia,M,API Development (Back-End),310000,"Seattle, WA ",2022-01-17,8 , 18,200000 , 100000 , 10000
Amazon,L6 SDM,Full Stack,480000,"Seattle, WA ",2022-01-16,6 , 18,160000 , 320000 , N/A
Accenture,Level 8,Production,105000,"Chicago, IL ",2022-01-14,9 , 18,100000 , N/A , 5000
Accenture,L6,Testing (SDET),250000,"San Francisco, CA ",2022-01-13,15 , 18,202000 , N/A , 48000
Amazon,Director,Distributed Systems (Back-End),900000,"Seattle, WA ",2022-01-12,15 , 18,160000 , 740000 , N/A
Oracle,M4,Distributed Systems (Back-End),630000,"Austin, TX ",2022-01-09,0 , 18,250000 , 380000 , N/A
Charles Schwab,60,Web Development (Front-End),300000,"Austin, TX ",2022-01-06,13 , 18,220000 , 45000 , 35000
Discord,M4,Full Stack,514000,"Austin, TX ",2022-01-03,1 , 18,244000 , 270000 , N/A
,M2,Mobile (iOS + Android),340000,"San Francisco, CA ",2022-01-03,1 , 18,215000 , 60000 , 65000
RBC,Engineering Director,Full Stack,335000,"New York, NY ",2021-12-28,3 , 18,230000 , N/A , 105000
Wayfair,L5,Full Stack,353000,"Boston, MA ",2021-12-25,3 , 18,185000 , 135000 , 33000
Amazon,L6 SDM,Distributed Systems (Back-End),330000,"Seattle, WA ",2021-12-20,15 , 18,160000 , 170000 , N/A
Tata Consultancy Services,C5,Full Stack,196000,"Boston, MA ",2021-12-18,18 , 18,160000 , N/A , 36000
Square,L6,Full Stack,480000,"Laguna Niguel, CA ",2021-12-18,0 , 18,225000 , 215000 , 40000
Google,L8,Full Stack,1300000,"San Francisco, CA ",2021-12-18,5 , 18,350000 , 800000 , 150000
Qualcomm,Senior Staff Engineer,embedded,339000,"Boulder, CO ",2021-12-16,12 , 18,200000 , 90000 , 49000
Oracle,M4,Distributed Systems (Back-End),550000,"Seattle, WA ",2021-12-08,0 , 18,250000 , 300000 , N/A
Adobe,L5,Distributed Systems (Back-End),355000,"San Jose, CA ",2021-12-06,0 , 18,233000 , 88000 , 35000
Amazon,L6 SDM,Distributed Systems (Back-End),300000,"Seattle, WA ",2021-12-06,5 , 18,160000 , 140000 , N/A
Starbucks,28,API Development (Back-End),239000,"Seattle, WA ",2021-12-05,5 , 18,207000 , 12000 , 20000
LinkedIn,M2,Full Stack,500000,"San Francisco, CA ",2021-12-01,3 , 18,250000 , 200000 , 50000
Netflix,M1,Distributed Systems (Back-End),710000,"Los Angeles, CA ",2021-12-01,2 , 18,710000 , N/A , N/A
Xperi,Sr. Manager,Data,244000,"San Jose, CA ",2021-11-23,1 , 18,202000 , 22000 , 20000
JPMorgan Chase,Vice President,API Development (Back-End),220000,"New York, NY ",2021-11-21,8 , 18,175000 , N/A , 45000
Western Digital,110,Firmware,350000,"Milpitas, CA ",2021-11-15,10 , 18,230000 , 50000 , 70000
The New York Times Company,Senior Director,Distributed Systems (Back-End),336000,"New York, NY ",2021-11-07,9 , 18,230000 , 60000 , 46000
Juniper Networks,G9,Testing (SDET),242000,"Sunnyvale, CA ",2021-11-05,12 , 18,197000 , 15000 , 30000
Amazon,L6 SDM,Distributed Systems (Back-End),178000,"San Jose, CA ",2021-11-03,0 , 18,178000 , N/A , N/A
Dell Technologies,L6,DevOps,179000,"Austin, TX ",2021-11-02,14 , 18,149000 , 10000 , 20000
Unity Technologies,L8,Full Stack,820000,"San Francisco, CA ",2021-10-29,4 , 18,220000 , 600000 , N/A
Zillow,M4,Full Stack,273000,"Irvine, CA ",2021-10-25,6 , 18,208000 , 65000 , N/A
Netflix,Director,API Development (Back-End),1100000,"Los Gatos, CA ",2021-10-25,5 , 18,1.1M , N/A , N/A
GoHealth,VP,Full Stack,345000,"Chicago, IL ",2021-10-23,6 , 18,225000 , 60000 , 60000
Sandia National Labs,SMTS,Full Stack,160000,"Livermore, CA ",2021-10-14,16 , 18,160000 , N/A , N/A
Capital One,Software engineering manager,API Development (Back-End),132000,"Nottingham, NH ",2021-10-14,2 , 18,120000 , N/A , 12000
Credit Karma,M2,Distributed Systems (Back-End),363000,"Oakland, CA ",2021-10-10,3 , 18,265000 , 98000 , N/A
Bloomberg,TL,Distributed Systems (Back-End),460000,"New York, NY ",2021-10-08,4 , 18,333000 , N/A , 127000
Amazon,L6 SDM,Distributed Systems (Back-End),346000,"Irvine, CA ",2021-10-06,6 , 18,156000 , 190000 , N/A
Microsoft,66,Distributed Systems (Back-End),326000,"Seattle, WA ",2021-10-05,0 , 18,206000 , 80000 , 40000
