Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Clover Health,L3,Technical,95000,"San Francisco, CA ",2022-03-09,3 , 2,95000 , N/A , N/A
Clover Health,L3,Technical,95000,"San Francisco, CA ",2022-03-09,3 , 2,95000 , N/A , N/A
Pinterest,L3,Technical,105000,"Austin, TX ",2022-02-24,0 , 2,100000 , 5000 , N/A
Facebook,IC4,Technical,155000,"Seattle, WA ",2022-02-11,0 , 2,123000 , 14000 , 18000
Verkada,L1,Technical,118000,"San Mateo, CA ",2022-02-08,1 , 2,105000 , 13000 , N/A
Publicis Sapient,L1,Technical,80000,"Boston, MA ",2022-02-07,1 , 2,80000 , N/A , N/A
HubSpot,Associate,Technical,70000,"Boston, MA ",2022-01-22,2 , 2,65000 , 5000 , N/A
Facebook,IC4,Technical,179000,"Austin, TX ",2022-01-02,1 , 2,112000 , 50000 , 17000
Zoox,L2,Technical,134000,"Foster City, CA ",2021-12-29,1 , 2,100000 , 34000 , N/A
Samsara,L2,Sales,103000,"San Francisco, CA ",2021-12-21,0 , 2,80000 , 15000 , 8000
Facebook,IC3,Leadership,116000,"San Francisco, CA ",2021-11-22,0 , 2,99000 , 8000 , 10000
,2,Tech,300000,"Parsippany, NJ ",2021-08-31,2 , 2,75000 , N/A , 225000
Human Interest,L2,Technical,112000,"San Francisco, CA ",2021-08-06,2 , 2,110000 , 2000 , N/A
Datadog,L3,University,115000,"New York, NY ",2021-07-20,0 , 2,100000 , 15000 , N/A
Sourcegraph,L2,Operations,130000,"Austin, TX ",2021-06-22,0 , 2,100000 , 30000 , N/A
Brex,L2,Technical,135000,"San Francisco, CA ",2021-05-09,0 , 2,128000 , 7000 , N/A
Renesas Electronics,L3,HR,85000,"San Francisco, CA ",2021-04-26,1 , 2,70000 , 5000 , 10000
Two Sigma,N/A,University,95000,"New York, NY ",2021-04-13,2 , 2,85000 , N/A , 10000
Facebook,L3,iOS,110000,"Menlo Park, CA ",2021-03-29,2 , 2,95000 , 5000 , 5000
Farfetch,P2,Operations,85000,"New York, NY ",2021-03-08,1 , 2,60000 , 20000 , 5000
Tesla,P2,Technical,115000,"Fremont, CA ",2021-02-16,1 , 2,90000 , 25000 , N/A
HomeAdvisor,Associate,Technical,78000,"Denver, CO ",2021-02-15,1 , 2,72000 , N/A , 6000
ByteDance,1-2,Technical,100000,"San Jose, CA ",2021-02-08,0 , 2,78000 , N/A , 22000
Microsoft,59,Sales,102000,"Seattle, WA ",2020-12-12,2 , 2,87000 , 4000 , 11000
Curology,L1,Full Stack,105000,"San Francisco, CA ",2020-11-04,2 , 2,92000 , 10000 , N/A
Amazon,L4,Technical,111000,"San Francisco, CA ",2020-09-15,1 , 2,84000 , 12000 , 15000
Amazon,L4,Technical,86000,"Seattle, WA ",2020-09-11,1 , 2,85000 , 1000 , N/A
PayPal,L22,Analytics,92000,"Los Angeles, CA ",2020-07-17,1 , 2,72000 , 13000 , 7000
Amazon,L4,Technical Recruiting,151000,"San Francisco, CA ",2020-07-01,1 , 2,84000 , 52000 , 15000
