Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Virtana,L3,Embedded,156000,"San Jose, CA ",2022-03-08,9 , 20,156000 , N/A , N/A
Flatiron Health,E5,Site Reliability (SRE),346000,"New York, NY ",2022-03-08,4 , 20,220000 , 83000 , 43000
Salesforce,Principal MTS,Distributed Systems (Back-End),360000,"Seattle, WA ",2022-03-07,4 , 20,260000 , 50000 , 50000
Cisco,Technical Leader 2,Networking,360000,"San Jose, CA ",2022-03-06,4 , 20,200000 , 95000 , 65000
One Medical,Senior,API Development (Back-End),226000,"San Francisco, CA ",2022-03-03,3 , 20,196000 , 30000 , N/A
Viavi Solutions,L3,Full Stack,145000,"Bothell, WA ",2022-03-02,4 , 20,135000 , N/A , 10000
Twilio,IC5,Distributed Systems (Back-End),420000,"San Francisco, CA ",2022-03-01,10 , 20,220000 , 200000 , N/A
IBM,Senior Engineer,Distributed Systems (Back-End),221000,"San Jose, CA ",2022-03-01,20 , 20,215000 , 2000 , 4000
Bloomberg,Senior Software Engineer,Distributed Systems (Back-End),299000,"New York, NY ",2022-02-28,4 , 20,241000 , N/A , 58000
Cubic,L4,Full Stack,145000,"Austin, TX ",2022-02-27,2 , 20,140000 , N/A , 5000
Arrow Electronics,L3,API Development (Back-End),135000,"Denver, CO ",2022-02-26,5 , 20,135000 , N/A , N/A
Salesforce,Lead MTS,Security,315000,"Boston, MA ",2022-02-26,1 , 20,220000 , 67000 , 28000
LinkedIn,Staff Software Engineer,Distributed Systems (Back-End),523000,"Sunnyvale, CA ",2022-02-23,2 , 20,237000 , 250000 , 36000
Nuro,L5,Production,260000,"Mountain View, CA ",2022-02-23,0 , 20,170000 , 70000 , 20000
Datadog,Senior,Distributed Systems (Back-End),550000,"New York, NY ",2022-02-22,2 , 20,205000 , 345000 , N/A
Roku,L5,Embedded System,370000,"San Jose, CA ",2022-02-22,7 , 20,250000 , 120000 , N/A
Walmart Global Tech,Senior Software Engineer,Mobile (iOS + Android),266000,"Sunnyvale, CA ",2022-02-21,0 , 20,180000 , 50000 , 36000
