Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
box,Staff,Product,425000,"Redwood City, CA ",2022-03-07,4 , 12,275000 , 140000 , 10000
Facebook,L5 Product Manager,Consumer,288000,"Los Angeles, CA ",2022-03-07,4 , 12,215000 , 40000 , 33000
Microsoft,65,Technical,287000,"Seattle, WA ",2022-03-04,1 , 12,205000 , 41000 , 41000
Amazon,Senior Product Manager,Product,235000,"Seattle, WA ",2022-02-28,5 , 12,135000 , 100000 , N/A
JPMorgan Chase,VP,Product,214000,"New York, NY ",2022-02-24,8 , 12,175000 , N/A , 39000
Noom,Director,Consumer,870000,"New York, NY ",2022-02-23,4 , 12,240000 , 600000 , 30000
Amazon,Principal Product Manager,Product,281000,"Seattle, WA ",2022-02-23,8 , 12,160000 , 121000 , N/A
Microsoft,Principal SDE,Product,340000,"Redmond, WA ",2022-02-22,0 , 12,200000 , 100000 , 40000
,L6,Product,155000,"Palo Alto, CA ",2022-02-16,7 , 12,127000 , 3000 , 25000
Facebook,L5 Product Manager,Consumer,350000,"Burlingame, CA ",2022-02-14,4 , 12,198000 , 119000 , 33000
Microsoft,64,Enterprise,375000,"Mountain View, CA ",2022-02-11,0 , 12,200000 , 120000 , 55000
Salesforce,Senior Product Manager,Services,291000,"Seattle, WA ",2022-02-10,2 , 12,145000 , 125000 , 21000
Amazon,Senior Product Manager,Consumer,208000,"Seattle, WA ",2022-02-10,3 , 12,151000 , 57000 , N/A
Amazon,Principal Product Manager,Product,660000,"Seattle, WA ",2022-02-09,8 , 12,160000 , 500000 , N/A
Dell Technologies,I10,Product,221000,"Santa Clara, CA ",2022-02-06,4 , 12,188000 , 8000 , 25000
Cloudflare,L5,Enterprise,250000,"San Francisco, CA ",2022-02-05,0 , 12,200000 , 50000 , N/A
Facebook,L5 Product Manager,Product,367000,"Fremont, CA ",2022-02-03,0 , 12,210000 , 125000 , 32000
Uber,Group Product Manager,Technical,660000,"San Francisco, CA ",2022-02-02,1 , 12,250000 , 350000 , 60000
Amazon,Principal Product Manager,Product,600000,"San Francisco, CA ",2022-02-01,6 , 12,180000 , 420000 , N/A
Yahoo,IC5,Technical,274000,"Boston, MA ",2022-02-01,7 , 12,204000 , 20000 , 50000
Spotify,L6,Growth,205000,"New York, NY ",2022-02-01,2 , 12,180000 , 25000 , N/A
Intel,Grade 9,Product,330000,"San Francisco, CA ",2022-01-25,3 , 12,210000 , 65000 , 55000
