Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Flexport,L3,Technical,132000,"San Francisco, CA ",2022-03-09,1 , 4,107000 , 15000 , 10000
LinkedIn,IC3,Technical,159000,"New York, NY ",2022-03-08,1 , 4,128000 , 18000 , 13000
Microsoft,60,Technical,158000,"Redmond, WA ",2022-03-01,0 , 4,118000 , 25000 , 15000
Amazon,L4,Technical,100000,"Chicago, IL ",2022-02-21,0 , 4,100000 , N/A , N/A
Snap,L3,Technical,130000,"San Francisco, CA ",2022-02-11,1 , 4,100000 , 20000 , 10000
Visa,L5,Finance,113000,"San Francisco, CA ",2022-02-10,1 , 4,105000 , N/A , 8000
Stitch Fix,L2,Technical,136000,"Los Angeles, CA ",2022-02-08,3 , 4,120000 , 16000 , N/A
Google,L3,recruiter,130000,"Austin, TX ",2022-02-08,1 , 4,100000 , 20000 , 10000
LinkedIn,IC2,Technical,136000,"San Francisco, CA ",2022-02-07,1 , 4,120000 , 15000 , 1000
Tesla,P2,University,138000,"San Francisco, CA ",2022-02-02,1 , 4,105000 , 33000 , N/A
Facebook,IC4,Technical,144000,"Los Angeles, CA ",2022-01-12,1 , 4,119000 , 13000 , 13000
IBM,Band 7,Operations,89000,"Austin, TX ",2022-01-06,2 , 4,89000 , N/A , N/A
Robinhood,L2,Technical,137000,"Seattle, WA ",2022-01-04,0 , 4,113000 , 13000 , 11000
Facebook,IC4,Technical,136000,"Austin, TX ",2021-12-21,1 , 4,112000 , 13000 , 11000
Google,L3,Operations,145000,"San Francisco, CA ",2021-12-14,1 , 4,105000 , 24000 , 16000
Facebook,IC5,Technical,191000,"Menlo Park, CA ",2021-10-22,2 , 4,158000 , 10000 , 24000
Facebook,L4,University,150000,"San Francisco, CA ",2021-10-15,3 , 4,126000 , 18000 , 6000
Amazon,L5,Technical,120000,"Los Angeles, CA ",2021-09-21,0 , 4,91000 , 17000 , 13000
GitHub,8,Technical,143000,"Chicago, IL ",2021-08-18,0 , 4,115000 , 18000 , 10000
Amazon,5,Technical,120000,"Seattle, WA ",2021-08-12,1 , 4,90000 , 15000 , 15000
Color,L3,Technical,115000,"San Francisco, CA ",2021-07-22,1 , 4,115000 , N/A , N/A
Facebook,IC3,Technical,114000,"San Francisco, CA ",2021-07-20,2 , 4,99000 , 10000 , 5000
Amazon,L5,Technical,120000,"Seattle, WA ",2021-07-15,1 , 4,85000 , 10000 , 25000
HBO,N/A,Technical,130000,"Los Angeles, CA ",2021-07-07,1 , 4,115000 , N/A , 12000
LinkedIn,IC3,Technical,138000,"Sunnyvale, CA ",2021-06-24,3 , 4,110000 , 17000 , 11000
Amazon,L5,Technical,115000,"Austin, TX ",2021-06-21,1 , 4,100000 , 5000 , 10000
Robinhood,L2,Technical,115000,"Menlo Park, CA ",2021-06-01,1 , 4,115000 , N/A , N/A
Google,L4,Technical,161000,"Seattle, WA ",2021-05-23,0 , 4,120000 , 23000 , 18000
Coinbase,L4,Technical,135000,"San Francisco, CA ",2021-04-11,0 , 4,120000 , 15000 , N/A
Amazon,L5,Technical,120000,"Seattle, WA ",2021-04-07,2 , 4,78000 , 34000 , 8000
Facebook,3,Technical,130000,"San Francisco, CA ",2021-03-25,2 , 4,105000 , 17000 , 9000
Amazon,L5,Technical,110000,"Austin, TX ",2020-12-15,2 , 4,92000 , 15000 , 5000
Google,L3,Technical,140000,"New York, NY ",2020-11-24,2 , 4,105000 , 16000 , 19000
EverQuote,4,Manager,160000,"Cambridge, MA ",2020-11-17,4 , 4,130000 , 30000 , N/A
Amazon,L4,Distributed Systems (Back-End),98000,"New York, NY ",2020-11-03,2 , 4,77000 , 20000 , N/A
Google,L3,Technical,180000,"New York, NY ",2020-11-02,3 , 4,140000 , 30000 , 10000
Clearbit,L3,Operations,120000,"San Francisco, CA ",2020-10-21,0 , 4,120000 , N/A , N/A
Square,L3,Data,140000,"San Francisco, CA ",2020-10-13,2 , 4,99000 , 40000 , N/A
LinkedIn,Recruiter 1,Technical,121000,"Sunnyvale, CA ",2020-10-12,2 , 4,110000 , N/A , 11000
Slalom,Analyst,Talent Acquisition,65000,"Denver, CO ",2020-10-12,2 , 4,55000 , N/A , 12000
Google,L3,Technical,160000,"Austin, TX ",2020-10-08,2 , 4,90000 , 47000 , 23000
Wayfair,2,Backend,88000,"Boston, MA ",2020-09-30,2 , 4,69000 , 12000 , 7000
Google,L3,Product,150000,"San Francisco, CA ",2020-09-29,2 , 4,100000 , 25000 , 20000
Amazon,L4,Recruiting Coordinator,65000,"Seattle, WA ",2020-09-08,1 , 4,55000 , 10000 , N/A
Google,Sr,Android,140000,"Sunnyvale, CA ",2020-08-24,2 , 4,120000 , 20000 , N/A
Amazon,L5,Technical,136000,"San Francisco, CA ",2020-08-20,2 , 4,102000 , 20000 , 14000
Lyft,L4,Hardware,205000,"San Francisco, CA ",2020-08-18,1 , 4,120000 , 85000 , N/A
Google,L3,Technical,200000,"San Francisco, CA ",2020-08-14,2 , 4,150000 , 30000 , 20000
Riviera Partners,Principal,Technical,156000,"New York, NY ",2020-08-13,2 , 4,77000 , N/A , 79000
Amazon,L4,Non tech,80000,"Seattle, WA ",2020-08-01,0 , 4,80000 , N/A , N/A
Amazon,5,tech other,105000,"San Francisco, CA ",2020-07-28,1 , 4,90000 , 15000 , N/A
Affirm,L5,None,135000,"San Francisco, CA ",2020-07-19,2 , 4,120000 , 15000 , N/A
Wayfair,L2,Full Stack,96000,"Boston, MA ",2020-07-01,2 , 4,84000 , 4000 , 8000
Facebook,IC3,Recruiter,120000,"San Francisco, CA ",2020-06-30,2 , 4,100000 , 12000 , 10000
LinkedIn,Recruiter 2,Tech Recruiting,145000,"San Francisco, CA ",2020-05-14,0 , 4,120000 , 14000 , 12000
