Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Apple,L3,,225000,"Cupertino, CA ",2022-03-07,0 , 13,160000 , 40000 , 25000
Amazon,L6,statistics,385000,"Palo Alto, CA ",2022-02-23,4 , 13,185000 , 200000 , N/A
,L6,Marketing,350000,"Boston, MA ",2022-02-06,1 , 13,200000 , 110000 , 40000
Salesforce,Director,Machine Learning,365000,"San Francisco, CA ",2021-10-23,2 , 13,255000 , 55000 , 55000
Foursquare,L3,general,158000,"New York, NY ",2021-10-21,3 , 13,158000 , N/A , N/A
Disney,M3,general,360000,"San Francisco, CA ",2021-10-18,1 , 13,220000 , 100000 , 40000
Mindtree,C4,Power BI,99000,"Seattle, WA ",2021-10-05,10 , 13,99000 , N/A , N/A
Microsoft,65,General,290000,"Redmond, WA ",2021-09-08,3 , 13,200000 , 50000 , 40000
Microsoft,64,"Identity, Cloud",230000,"Seattle, WA ",2021-08-13,4 , 13,180000 , 20000 , 30000
VMware,Senior Manager,Data and Analytics,265000,"Palo Alto, CA ",2021-07-22,1 , 13,195000 , 30000 , 40000
Microsoft,64,Engineering,209000,"Seattle, WA ",2021-04-27,3 , 13,163000 , 20000 , 25000
Verizon,Ic5,Data,180000,"Sunnyvale, CA ",2020-12-19,7 , 13,130000 , 30000 , 20000
Apple,ICT5,ML / AI,381000,"Cupertino, CA ",2020-10-25,6 , 13,193000 , 160000 , 28000
Amazon,L7,ML / AI,710000,"Seattle, WA ",2020-09-24,1 , 13,160000 , 375000 , 175000
Amazon,L5,ML / AI,340000,"Palo Alto, CA ",2020-08-06,0 , 13,180000 , 50000 , 110000
PayPal,26,Data Science,297000,"San Jose, CA ",2020-07-07,2 , 13,207000 , 60000 , 30000
IBM,10,Data Science,270000,"Armonk, NY ",2020-06-08,12 , 13,270000 , N/A , N/A
,PF4,ML / AI,165000,"New York, NY ",2020-05-25,3 , 13,140000 , N/A , 20000
DoorDash,E6,ML / AI,412000,"San Francisco, CA ",2020-02-13,0 , 13,200000 , 212000 , N/A
Adobe,Senior Software Engineer (5),ML / AI,350000,"San Jose, CA ",2020-02-07,1 , 13,213000 , 110000 , 27000
Google,L5,Product Analyst,273000,"Mountain View, CA ",2019-09-18,12 , 13,169000 , 73000 , 31000
Microsoft,64,ML / AI,250000,"Seattle, WA ",2019-08-13,12 , 13,165000 , 57000 , 28000
Applied Materials,E4,Process,165000,"Santa Clara, CA ",2019-02-05,13 , 13,130000 , 15000 , 20000
