Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Google,L4,Technical,125000,"Chicago, IL ",2022-02-11,1 , 8,125000 , N/A , N/A
LegalZoom,L14,Recruiter,201000,"Irvine, CA ",2022-02-10,1 , 8,165000 , 20000 , 16000
Amazon,L5,Operations,122000,"Chicago, IL ",2022-02-02,1 , 8,90000 , 18000 , 14000
Indellient,L3,Technical,178000,"Austin, TX ",2022-01-28,1 , 8,133000 , 5000 , 40000
Google,L3,Sales,176000,"New York, NY ",2022-01-26,4 , 8,113000 , 43000 , 21000
Facebook,IC4,Operations,160000,"San Francisco, CA ",2022-01-21,4 , 8,129000 , 18000 , 13000
Dropbox,IC3,Technical,171000,"San Francisco, CA ",2022-01-20,2 , 8,140000 , 10000 , 21000
Verkada,L5,Technical,180000,"San Mateo, CA ",2022-01-13,1 , 8,165000 , 15000 , N/A
LegalZoom,L14,Technical,220000,"San Jose, CA ",2022-01-11,1 , 8,175000 , 20000 , 25000
Salesforce,L6,Sales,171000,"New York, NY ",2022-01-07,2 , 8,158000 , N/A , 13000
Squarespace,5,Technical,150000,"New York, NY ",2022-01-05,1 , 8,140000 , 7000 , 3000
Facebook,E5,Technical,205000,"San Francisco, CA ",2021-12-09,0 , 8,159000 , 23000 , 24000
Coinbase,IC5,Technical,219000,"Austin, TX ",2021-11-02,1 , 8,124000 , 50000 , 45000
Netflix,Senior,Technical,258000,"San Francisco, CA ",2021-10-29,1 , 8,253000 , N/A , 5000
Facebook,l4 Technical Recruiter,Technical,200000,"San Francisco, CA ",2021-10-27,1 , 8,160000 , 40000 , N/A
Amazon,L5,Technical,150000,"San Francisco, CA ",2021-10-06,5 , 8,110000 , 40000 , N/A
Box,L7,Operations,208000,"Redwood City, CA ",2021-10-06,3 , 8,155000 , 50000 , 3000
Oracle,IC-3,Technical,113000,"Los Angeles, CA ",2021-10-06,3 , 8,110000 , N/A , 3000
Roblox,IC4,Operations,204000,"San Mateo, CA ",2021-09-03,0 , 8,168000 , 36000 , N/A
Facebook,IC5,Design,258000,"San Francisco, CA ",2021-08-28,2 , 8,160000 , 50000 , 48000
Facebook,L6,Leadership,235000,"New York, NY ",2021-08-27,8 , 8,190000 , 25000 , 20000
Microsoft,62,Other,165000,"Seattle, WA ",2021-08-23,6 , 8,130000 , 20000 , 15000
Cruise,L5,Technical,185000,"San Francisco, CA ",2021-08-19,2 , 8,127000 , 20000 , 38000
Apple,IC3,University,120000,"Sunnyvale, CA ",2021-06-25,4 , 8,108000 , 10000 , 6000
Facebook,IC4,Distributed Systems (Back-End),154000,"Seattle, WA ",2021-06-22,2 , 8,126000 , 15000 , 13000
Netflix,Only one level across Netflix,Technical,156000,"Los Gatos, CA ",2021-06-09,1 , 8,156000 , N/A , N/A
Coursera,L3,Technical,235000,"San Francisco, CA ",2021-04-22,2 , 8,129000 , 100000 , 6000
Mozilla,P3,Technical,133000,"San Francisco, CA ",2021-02-10,1 , 8,118000 , N/A , 15000
Compass,IC4,Technical,187000,"New York, NY ",2020-11-24,2 , 8,135000 , 27000 , 25000
Facebook,M1,ML / AI,260000,"New York, NY ",2020-11-18,7 , 8,185000 , 35000 , 40000
Amazon,L5,Technical,155000,"New York, NY ",2020-11-17,2 , 8,120000 , 35000 , N/A
Visa,L5,Human Researouces,128000,"Palo Alto, CA ",2020-11-17,2 , 8,119000 , N/A , 9000
Facebook,E4,Infrastructure,177000,"San Francisco, CA ",2020-10-28,3 , 8,133000 , 31000 , 13000
Google,l4,Technical,150000,"Austin, TX ",2020-10-18,2 , 8,100000 , 45000 , 5000
Amazon,L6,Technical,250000,"New York, NY ",2020-10-14,4 , 8,132000 , 120000 , N/A
,Senior,Full Cycle Recruiter,154000,"San Jose, CA ",2020-10-13,1 , 8,135000 , 10000 , 14000
Gem,3,Full Stack,145000,"San Francisco, CA ",2020-10-10,1 , 8,145000 , N/A , N/A
Facebook,IC4,Product Management,157000,"Seattle, WA ",2020-10-06,2 , 8,125000 , 20000 , 12000
,level 4,University,165000,"New York, NY ",2020-10-05,1 , 8,150000 , 10000 , 5000
ServiceTitan,l3,Lead Talent,161000,"Los Angeles, CA ",2020-09-08,2 , 8,140000 , N/A , 21000
Facebook,L4 Sourcer,Technical,150000,"Seattle, WA ",2020-08-18,1 , 8,125000 , 13000 , 13000
Airbnb,L9,Full Stack,220000,"San Francisco, CA ",2020-08-17,2 , 8,160000 , 35000 , 25000
IBM,7,Consulting,105000,"Cambridge, MA ",2020-07-22,2 , 8,105000 , N/A , N/A
Comcast,Senior Technical Recruiter,HR,135000,"Sunnyvale, CA ",2020-07-21,0 , 8,130000 , 1000 , 1000
Coinbase,5,Recruiter,180000,"San Francisco, CA ",2020-07-13,3 , 8,145000 , 35000 , N/A
Google,L5,Non tech recruiting,250000,"Mountain View, CA ",2020-07-10,6 , 8,150000 , 65000 , 35000
TextNow,Senior,Recruiting,160000,"San Francisco, CA ",2020-07-02,2 , 8,160000 , N/A , N/A
Facebook,IC5,Design Recruiter,191000,"New York, NY ",2020-02-14,4 , 8,150000 , 18000 , 23000
