Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Apple,M3,Mobile (iOS + Android),830000,"Cupertino, CA ",2022-03-08,12 , 16,279000 , 551000 , N/A
Roku,??,Firmware,450000,"San Jose, CA ",2022-03-07,8 , 16,384000 , 66000 , N/A
Roche,L6,Distributed Systems (Back-End),350000,"San Francisco, CA ",2022-03-07,4 , 16,200000 , 100000 , 50000
MathWorks,STL4,Production,220000,"Boston, MA ",2022-03-03,6 , 16,180000 , N/A , 40000
LinkedIn,L2,Full Stack,550000,"San Francisco, CA ",2022-02-19,3 , 16,250000 , 250000 , 50000
Expedia,M,Data,315000,"Seattle, WA ",2022-02-12,1 , 16,220000 , 80000 , 15000
PayPal,T27,Data,393000,"Los Angeles, CA ",2022-02-11,2 , 16,213000 , 150000 , 30000
Wells Fargo,L2,Data,240000,"Summit, NJ ",2022-02-06,1 , 16,195000 , 20000 , 25000
Adobe,M4,DevOps,430000,"San Jose, CA ",2022-02-06,4 , 16,250000 , 140000 , 40000
Hippo,L6,Full Stack,485000,"Palo Alto, CA ",2022-01-27,0 , 16,235000 , 250000 , N/A
Google,Manager (L6),Production,519000,"Cambridge, MA ",2022-01-22,5 , 16,217000 , 250000 , 52000
Stripe,M1,Full Stack,668000,"San Francisco, CA ",2022-01-20,0 , 16,250000 , 368000 , 50000
Apple,M2,Full Stack,504000,"Cupertino, CA ",2022-01-20,3 , 16,254000 , 200000 , 50000
Goldman Sachs,Vice President,API Development (Back-End),326000,"New York, NY ",2022-01-19,12 , 16,207000 , 15000 , 104000
Comcast,Dir 1,Security,296000,"Austin, TX ",2022-01-19,14 , 16,188000 , 70000 , 38000
Amazon,L6 SDM,Full Stack,350000,"Austin, TX ",2022-01-18,5 , 16,160000 , 190000 , N/A
Adobe,M40,Site Reliability (SRE),400000,"San Jose, CA ",2022-01-18,4 , 16,250000 , 120000 , 30000
Bloomberg,Team Lead,Data,275000,"New York, NY ",2022-01-16,6 , 16,223000 , N/A , 52000
Amazon,Senior SDM,Distributed Systems (Back-End),530000,"Seattle, WA ",2022-01-12,7 , 16,160000 , 370000 , N/A
Amazon,L6 SDM,Distributed Systems (Back-End),510000,"Seattle, WA ",2022-01-07,7 , 16,160000 , 350000 , N/A
DocuSign,M5,Distributed Systems (Back-End),500000,"Seattle, WA ",2022-01-04,16 , 16,250000 , 200000 , 50000
The Home Depot,Senior Software Engineering Manager,Full Stack,260000,"Austin, TX ",2022-01-02,8 , 16,200000 , 40000 , 20000
Microsoft,65,Data,350000,"Redmond, WA ",2021-12-30,10 , 16,195000 , 110000 , 45000
Facebook,M1,Distributed Systems (Back-End),696000,"San Francisco, CA ",2021-12-25,5 , 16,240000 , 408000 , 48000
Bloomberg,TL,C++,350000,"New York, NY ",2021-12-16,9 , 16,300000 , N/A , 50000
Amazon,L6 SDM,Full Stack,465000,"Seattle, WA ",2021-12-13,1 , 16,155000 , 115000 , 195000
McKinsey,Software Architect,Full Stack,190000,"New York, NY ",2021-12-12,1 , 16,185000 , N/A , 5000
Amazon,L6 SDM,Full Stack,380000,"Seattle, WA ",2021-12-12,9 , 16,160000 , 220000 , N/A
VMware,M3,API Development (Back-End),344000,"New York, NY ",2021-12-03,0 , 16,230000 , 75000 , 39000
Accenture,Senior Manager,Full Stack,258000,"New York, NY ",2021-12-03,16 , 16,235000 , N/A , 23000
Morningstar,L6,Full Stack,163000,"Chicago, IL ",2021-11-30,14 , 16,135000 , 1000 , 27000
NBCUniversal,Director,Mobile (iOS + Android),247000,"Los Angeles, CA ",2021-11-30,1 , 16,220000 , 5000 , 22000
Amazon,L6 SDM,Android,415000,"Sunnyvale, CA ",2021-11-25,6 , 16,185000 , 230000 , N/A
S&P Global,L3,Full Stack,240000,"New York, NY ",2021-11-19,15 , 16,190000 , N/A , 50000
NortonLifeLock,Senior Manager,Data,247000,"Culver City, CA ",2021-11-15,14 , 16,168000 , 45000 , 34000
DocuSign,M6,API Development (Back-End),820000,"Seattle, WA ",2021-11-10,6 , 16,260000 , 500000 , 60000
Amazon,L6 SDM,Distributed Systems (Back-End),495000,"Los Angeles, CA ",2021-11-09,0 , 16,160000 , 203000 , 132000
Intuit,M3,Testing (SDET),352000,"San Francisco, CA ",2021-11-05,1 , 16,222000 , 75000 , 55000
Amazon,L6 SDM,Full Stack,360000,"Seattle, WA ",2021-10-29,7 , 16,160000 , 200000 , N/A
Silicon Labs,M3,DevOps,228000,"Austin, TX ",2021-10-29,2 , 16,158000 , 50000 , 20000
Amazon,L6,Data,235000,"Seattle, WA ",2021-10-27,7 , 16,160000 , 75000 , N/A
Intel,Grade 9,Data,373000,"Santa Clara, CA ",2021-10-26,16 , 16,223000 , 100000 , 50000
Amazon,L6 SDM,Full Stack,435000,"Seattle, WA ",2021-10-25,3 , 16,160000 , 275000 , N/A
Linkedin,L5,API Development (Back-End),672000,"Sunnyvale, CA ",2021-10-20,6 , 16,240000 , 360000 , 72000
Apple,ICT5,Web Development (Front-End),364000,"San Francisco, CA ",2021-10-19,6 , 16,189000 , 150000 , 25000
Nutanix,Senior Staff Engineer,Distributed Systems (Back-End),450000,"San Jose, CA ",2021-10-11,6 , 16,300000 , 150000 , N/A
Amazon,L6 SDM,Distributed Systems (Back-End),341000,"Seattle, WA ",2021-10-05,11 , 16,141000 , 200000 , N/A
Amazon,L6,ML / AI,426000,"Seattle, WA ",2021-10-04,2 , 16,156000 , 270000 , N/A
