Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Applied Materials,l4,Distributed Systems (Back-End),255000,"South San Francisco, CA ",2022-03-04,14 , 14,190000 , 30000 , 35000
Microsoft,66,Distributed Systems (Back-End),342000,"Redmond, WA ",2022-03-03,10 , 14,207000 , 80000 , 55000
Everbridge,L6,Distributed Systems (Back-End),235000,"Boston, MA ",2022-03-02,6 , 14,185000 , 35000 , 15000
Bloomberg,Team Lead,Data,344000,"New York, NY ",2022-02-25,6 , 14,267000 , N/A , 77000
Applied Materials,L4,Distributed Systems (Back-End),260000,"Santa Clara, CA ",2022-02-21,14 , 14,190000 , 30000 , 40000
Apple,ICT4,Distributed Systems (Back-End),355000,"Cupertino, CA ",2022-02-20,7 , 14,217000 , 110000 , 28000
Nvidia,M3,Site Reliability (SRE),515000,"Santa Clara, CA ",2022-02-16,1 , 14,265000 , 250000 , N/A
amzon,L6,Distributed Systems (Back-End),560000,"Palo Alto, CA ",2022-02-14,1 , 14,185000 , 40000 , 335000
Amazon,Senior SDM,Networking,875000,"Sunnyvale, CA ",2022-02-11,6 , 14,265000 , 610000 , N/A
Spotify,1,Full Stack,186000,"New York, NY ",2022-02-08,6 , 14,175000 , 11000 , N/A
Amazon,L6 SDM,Full Stack,278000,"Seattle, WA ",2022-02-02,8 , 14,160000 , 118000 , N/A
Amazon,L6 SDM,Distributed Systems (Back-End),470000,"Seattle, WA ",2022-02-01,13 , 14,160000 , 310000 , N/A
WP Engine,M3,Full Stack,179000,"Austin, TX ",2022-01-31,5 , 14,163000 , N/A , 16000
Amazon,L6 SDM,Full Stack,350000,"New York, NY ",2022-01-31,2 , 14,160000 , 160000 , 30000
Google,Manager (L6),Engineering Productivity,634000,"Mountain View, CA ",2022-01-30,4 , 14,250000 , 320000 , 64000
The Washington Post,1,Web Development (Front-End),163000,"Chicago, IL ",2022-01-27,3 , 14,148000 , N/A , 15000
Applied Materials,M4,Enterprise software,258000,"Santa Clara, CA ",2022-01-25,14 , 14,190000 , 30000 , 38000
Amazon,L6 SDM,Full Stack,473000,"Seattle, WA ",2022-01-18,9 , 14,160000 , 313000 , N/A
Amazon,L6 SDM,Full Stack,500000,"Seattle, WA ",2022-01-05,4 , 14,160000 , 340000 , N/A
Salesforce,L8,API Development (Back-End),357000,"San Francisco, CA ",2021-12-31,1 , 14,245000 , 75000 , 37000
Amazon,L7,Full Stack,550000,"Seattle, WA ",2021-12-29,11 , 14,160000 , 390000 , N/A
Zillow,M4,Distributed Systems (Back-End),550000,"Seattle, WA ",2021-12-14,1 , 14,215000 , 300000 , 35000
Amazon,L6 QAM,Android,210000,"Austin, TX ",2021-12-14,4 , 14,160000 , 50000 , N/A
Morgan Stanley,Executive Director,ML / AI,210000,"New York, NY ",2021-12-09,13 , 14,170000 , N/A , 40000
Goldman Sachs,Vice President,Full Stack,260000,"New York, NY ",2021-12-08,7 , 14,180000 , 10000 , 70000
Microsoft,65,Data,306000,"Seattle, WA ",2021-12-06,4 , 14,200000 , 54000 , 52000
Mphasis,L8,Data,170000,"New York, NY ",2021-12-06,5 , 14,150000 , N/A , 20000
Facebook,M1,Distributed Systems (Back-End),588000,"Menlo Park, CA ",2021-12-01,0 , 14,240000 , 300000 , 48000
Cisco,Grade 13,Networking,348000,"Boston, MA ",2021-11-26,14 , 14,178000 , 100000 , 70000
Cisco,Grade 13,Distributed Systems (Back-End),550000,"San Jose, CA ",2021-11-08,5 , 14,210000 , 250000 , 90000
Affirm,L7,Distributed Systems (Back-End),436000,"New York, NY ",2021-11-06,0 , 14,230000 , 206000 , N/A
Cisco,Grade 11,Security,280000,"San Jose, CA ",2021-11-03,10 , 14,210000 , 40000 , 30000
Microsoft,66,ML / AI,390000,"San Francisco, CA ",2021-11-02,13 , 14,240000 , 95000 , 55000
Flyhomes,Senior,Full Stack,183000,"Seattle, WA ",2021-10-28,0 , 14,180000 , 3000 , N/A
Ernst and Young,Manager,Security,208000,"Secaucus, NJ ",2021-10-23,6 , 14,188000 , N/A , 20000
Expedia,N,Distributed Systems (Back-End),328000,"Austin, TX ",2021-10-11,4 , 14,218000 , 100000 , 10000
Snap,L8,Full Stack,1390000,"Los Angeles, CA ",2021-10-05,5 , 14,330000 , 1M , 60000
Deloitte,Manager,Salesforce,165000,"Boston, MA ",2021-10-04,9 , 14,150000 , N/A , 15000
Amazon,L6 SDM,Full Stack,350000,"Seattle, WA ",2021-09-30,10 , 14,160000 , 190000 , N/A
LinkedIn,Staff Software Engineer,Site Reliability (SRE),422000,"San Francisco, CA ",2021-09-14,4 , 14,240000 , 132000 , 50000
LinkedIn,Senior Staff Software Engineer,Distributed Systems (Back-End),905000,"Sunnyvale, CA ",2021-09-12,2 , 14,280000 , 550000 , 75000
Netflix,Director,Security,840000,"Los Gatos, CA ",2021-09-03,3 , 14,840000 , N/A , N/A
Tableau Software,3.3,Distributed Systems (Back-End),305000,"Seattle, WA ",2021-08-31,1 , 14,230000 , 75000 , N/A
Facebook,M1,Site Reliability (SRE),800000,"Menlo Park, CA ",2021-08-27,2 , 14,235000 , 518000 , 47000
Coinbase,L6,API Development (Back-End),653000,"New York, NY ",2021-08-23,0 , 14,230000 , 400000 , 23000
