Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Google,L6,Ground Infrastructure,340000,"Mountain View, CA ",2022-02-28,6 , 20,230000 , 60000 , 50000
Apple,ICT5,AIML,335000,"Cambridge, MA ",2022-02-20,0 , 20,205000 , 100000 , 30000
JPMorgan Chase,Vice president,General,190000,"Jersey City, NJ ",2022-02-16,8 , 20,170000 , N/A , 20000
Salesforce,6,Web App,209000,"Seattle, WA ",2022-02-16,3 , 20,160000 , 30000 , 19000
Oracle,IC,Delivery,195000,"New York, NY ",2022-02-15,10 , 20,150000 , 15000 , 30000
Microsoft,65,Azure,310000,"Redmond, WA ",2022-02-10,15 , 20,215000 , 55000 , 40000
Amazon,L6,Devices,270000,"Sunnyvale, CA ",2022-02-07,8 , 20,160000 , 110000 , N/A
Amazon,L7,AWS,450000,"Seattle, WA ",2022-02-06,0 , 20,160000 , 30000 , 260000
Google,L5,Product engineering,300000,"Seattle, WA ",2022-02-05,7 , 20,180000 , 80000 , 40000
,L7,Program Management,145000,"New York, NY ",2022-02-04,15 , 20,130000 , N/A , 15000
Amazon,5,API Development (Back-End),160000,"Los Angeles, CA ",2022-01-27,3 , 20,160000 , N/A , N/A
Apple,M1,Operations,305000,"Austin, TX ",2022-01-26,10 , 20,200000 , 80000 , 25000
Tata Consultancy Services,C4,Full Stack,152000,"Chicago, IL ",2022-01-26,10 , 20,137000 , N/A , 15000
Google,L5,Security,300000,"Seattle, WA ",2022-01-23,7 , 20,189000 , 76000 , 35000
Amazon,L7,General,300000,"Austin, TX ",2022-01-15,7 , 20,160000 , 40000 , 100000
Facebook,IC5,Machine Learning,305000,"Seattle, WA ",2022-01-09,1 , 20,195000 , 80000 , 30000
Apple,M1,General,382000,"Cupertino, CA ",2022-01-04,2 , 20,204000 , 148000 , 30000
Facebook,IC8,,1165000,"Seattle, WA ",2021-12-31,0 , 20,300000 , 750000 , 115000
Amazon,L7,Principal Professional Services,460000,"Seattle, WA ",2021-12-30,1 , 20,160000 , 100000 , 200000
Goldman Sachs,Vice President,IT,300000,"New York, NY ",2021-12-14,2 , 20,200000 , 20000 , 80000
Amazon,L6,Storage Hardware,260000,"Seattle, WA ",2021-12-13,4 , 20,160000 , 100000 , N/A
Microsoft,65,Program manager,325000,"Seattle, WA ",2021-12-08,15 , 20,225000 , 55000 , 45000
Facebook,L6 Technical Program Manager,TPM,437000,"Menlo Park, CA ",2021-12-06,1 , 20,229000 , 163000 , 46000
Microsoft,68,Data Science,800000,"Seattle, WA ",2021-11-30,20 , 20,275000 , 400000 , 125000
Apple,ICT5,"Software, AI/ML, App Development, Knowledge Graph",360000,"Cupertino, CA ",2021-11-30,7 , 20,200000 , 130000 , 30000
Coinbase,L6,General,345000,"San Francisco, CA ",2021-11-19,0 , 20,200000 , 125000 , 20000
Facebook,L6,Technical Program Manager,493000,"Menlo Park, CA ",2021-11-17,1 , 20,234000 , 184000 , 75000
Facebook,L6,Program Manager,528000,"Menlo Park, CA ",2021-11-11,1 , 20,231000 , 250000 , 46000
Amazon,L6,Finance,300000,"Los Angeles, CA ",2021-11-10,1 , 20,180000 , 120000 , N/A
Coinbase,L6,General,325000,"San Francisco, CA ",2021-11-10,1 , 20,200000 , 125000 , N/A
Microsoft,66,Principal,324000,"Seattle, WA ",2021-11-09,17 , 20,204000 , 80000 , 40000
Microsoft,65,Program management,325000,"Seattle, WA ",2021-11-05,11 , 20,225000 , 50000 , 50000
Microsoft,65,Commerce platform,325000,"Seattle, WA ",2021-11-02,11 , 20,225000 , 50000 , 50000
Microsoft,66,Mobile,332000,"Redmond, WA ",2021-11-02,17 , 20,210000 , 80000 , 41000
Amazon,L6,General,260000,"Seattle, WA ",2021-10-25,2 , 20,160000 , 65000 , 35000
Microsoft,63,General,248000,"Redmond, WA ",2021-10-20,20 , 20,189000 , 22000 , 37000
Amazon,L6,Software development,302000,"Sunnyvale, CA ",2021-10-15,5 , 20,182000 , 120000 , N/A
Apple,ICT5,Apple media products,335000,"Cupertino, CA ",2021-10-11,2 , 20,203000 , 105000 , 27000
Vizio,L7,smartcast,250000,"Seattle, WA ",2021-10-04,2 , 20,185000 , 40000 , 25000
U.S. Bank,16,Digital Channel,204000,"San Francisco, CA ",2021-09-26,3 , 20,160000 , 14000 , 30000
Google,L7,Support Tools & Operations,661000,"Mountain View, CA ",2021-09-21,14 , 20,295000 , 267000 , 100000
Microsoft,66,Business Applications,340000,"Seattle, WA ",2021-09-19,1 , 20,210000 , 100000 , 30000
Apple,ICT4,Apple Media Products,350000,"Seattle, WA ",2021-09-15,0 , 20,200000 , 125000 , 25000
BNY Mellon,L,#projectmanagement,236000,"Jersey City, NJ ",2021-09-13,5 , 20,188000 , N/A , 48000
Amazon,L6,Information Security,306000,"New York, NY ",2021-09-09,0 , 20,185000 , 70000 , 51000
Hitachi,L5,project management,163000,"Los Angeles, CA ",2021-09-07,1 , 20,148000 , N/A , 15000
Intel,Grade 8,Software,188000,"Santa Clara, CA ",2021-09-04,20 , 20,145000 , 21000 , 22000
Amazon,L6,TPM,245000,"Chicago, IL ",2021-08-26,0 , 20,150000 , 95000 , N/A
Salesforce,10,Security,470000,"Bellevue, WA ",2021-08-23,4 , 20,280000 , 120000 , 70000
Google,L6,General,425000,"Seattle, WA ",2021-08-19,0 , 20,191000 , 167000 , 67000
Facebook,IC5,Product,299000,"Menlo Park, CA ",2021-08-12,2 , 20,195000 , 75000 , 29000
Amazon,L6,Level 6,200000,"Chicago, IL ",2021-08-11,0 , 20,155000 , 45000 , N/A
Google,L5,General,270000,"Mountain View, CA ",2021-08-06,15 , 20,167000 , 68000 , 35000
Microsoft,66,general,410000,"Sunnyvale, CA ",2021-08-03,1 , 20,230000 , 100000 , 80000
ServiceNow,IC5,strategic,400000,"Kirkland, WA ",2021-08-03,2 , 20,200000 , 160000 , 40000
Microsoft,62,Networking,210000,"Seattle, WA ",2021-08-02,3 , 20,150000 , 30000 , 30000
Facebook,L6,TPM ML AI,475000,"Menlo Park, CA ",2021-07-27,3 , 20,225000 , 200000 , 50000
Salesforce,Grade 10,Customer Success,566000,"New York, NY ",2021-07-16,0 , 20,275000 , 222000 , 69000
Ericsson,JS8,Telecom,265000,"Bellevue, WA ",2021-07-13,10 , 20,205000 , 10000 , 50000
MediaTek,0,Project Management,242000,"San Jose, CA ",2021-07-12,0 , 20,223000 , N/A , 19000
Intel,Grade 10,general,320000,"Seattle, WA ",2021-07-01,14 , 20,210000 , 50000 , 60000
Microsoft,65,Security,231000,"Seattle, WA ",2021-06-15,11 , 20,183000 , 8000 , 39000
Amazon,L6 SDM,TPM,270000,"Sunnyvale, CA ",2021-06-14,8 , 20,180000 , 90000 , N/A
Microsoft,L66,Special Projects,333000,"Seattle, WA ",2021-06-13,17 , 20,215000 , 75000 , 43000
Sift,L4,Security,255000,"Seattle, WA ",2021-06-02,2 , 20,205000 , 30000 , 20000
VMware,L3,PMO,183000,"Chicago, IL ",2021-05-21,4 , 20,180000 , 3000 , N/A
Salesforce,L8,Security,262000,"Bellevue, WA ",2021-05-10,1 , 20,210000 , 18000 , 32000
Google,L5,TPM,273000,"Mountain View, CA ",2021-04-28,4 , 20,172000 , 75000 , 26000
Amazon,L6,General,228000,"New York, NY ",2021-04-23,2 , 20,165000 , 43000 , 20000
Amazon,L6,General,292000,"Seattle, WA ",2021-04-19,4 , 20,160000 , 132000 , N/A
Facebook,IC6,Engineering,475000,"Menlo Park, CA ",2021-04-16,2 , 20,220000 , 210000 , 45000
Autodesk,P4,Security,220000,"San Francisco, CA ",2021-04-07,2 , 20,164000 , 32000 , 24000
Facebook,IC7,General,625000,"Menlo Park, CA ",2021-04-07,1 , 20,280000 , 275000 , 70000
PayPal,T27,General,372000,"San Jose, CA ",2021-03-31,2 , 20,210000 , 120000 , 42000
Microsoft,64,Security,204000,"Redmond, WA ",2021-03-30,11 , 20,156000 , 21000 , 27000
Amazon,L6,General,300000,"Sunnyvale, CA ",2021-03-27,4 , 20,175000 , 125000 , N/A
Facebook,E5,Security,323000,"Seattle, WA ",2021-03-23,1 , 20,193000 , 100000 , 30000
T-Mobile,L07,P&T,218000,"Bellevue, WA ",2021-03-18,3 , 20,166000 , 15000 , 37000
Amazon,L6,Non-Tech Program Manager,210000,"Seattle, WA ",2021-03-11,0 , 20,138000 , 45000 , 27000
Microsoft,66,Security,420000,"Redmond, WA ",2021-03-04,0 , 20,220000 , 150000 , 50000
Google,L5,Supply Chain,305000,"San Francisco, CA ",2021-02-23,3 , 20,175000 , 100000 , 30000
Paypal,T25,General,237000,"San Jose, CA ",2021-02-15,3 , 20,152000 , 70000 , 15000
Google,L5,Infra,309000,"New York, NY ",2021-02-12,2 , 20,170000 , 109000 , 30000
Bank of America Merrill Lynch,Vice President,Enterprise Agile Coach,216000,"Jersey City, NJ ",2021-02-10,5 , 20,160000 , 40000 , 16000
,O5,Staff officer,140000,"Seattle, WA ",2021-01-21,20 , 20,140000 , N/A , N/A
Microsoft,65,Data,255000,"Seattle, WA ",2021-01-04,13 , 20,185000 , 35000 , 35000
Morgan Stanley,Vice President,Networking,350000,"New York, NY ",2021-01-04,3 , 20,225000 , 25000 , 100000
Microsoft,66,Data,355000,"Redmond, WA ",2020-12-28,10 , 20,215000 , 50000 , 90000
Google,L6,Full Stack,425000,"Mountain View, CA ",2020-12-17,8 , 20,235000 , 140000 , 50000
Salesforce,L8,Security,252000,"Bellevue, WA ",2020-12-16,1 , 20,202000 , 19000 , 30000
Apple,ICT5,iOS,298000,"Cupertino, CA ",2020-12-15,2 , 20,215000 , 63000 , 20000
Microsoft,66,ML / AI,285000,"Redmond, WA ",2020-12-15,5 , 20,205000 , 45000 , 35000
Airbnb,Staff,Data,450000,"San Francisco, CA ",2020-12-06,1 , 20,200000 , 200000 , 50000
ByteDance,3.1,Production,300000,"San Francisco, CA ",2020-11-24,0 , 20,250000 , N/A , 50000
Amazon,L6,Full Stack,320000,"Santa Clara, CA ",2020-11-21,1 , 20,170000 , 150000 , N/A
Facebook,M2,Distributed Systems (Back-End),480000,"Menlo Park, CA ",2020-11-16,1 , 20,244000 , 175000 , 61000
Amazon,L7,NA,286000,"Seattle, WA ",2020-11-15,5 , 20,160000 , 126000 , N/A
Microsoft,67,Data,325000,"Redmond, WA ",2020-11-08,8 , 20,225000 , 35000 , 65000
Microsoft,66,Mobile (iOS + Android),320000,"Redmond, WA ",2020-10-28,16 , 20,205000 , 75000 , 40000
Amazon,L6,Cloud Services,259000,"Seattle, WA ",2020-10-11,1 , 20,160000 , 13000 , 86000
amazon,L6,API Development (Back-End),250000,"Seattle, WA ",2020-10-08,3 , 20,155000 , 95000 , N/A
Microsoft,65,Data,269000,"Redmond, WA ",2020-09-25,20 , 20,205000 , 28000 , 36000
Google,L4,infrastructure,240000,"Sunnyvale, CA ",2020-09-24,6 , 20,150000 , 65000 , 25000
Amazon,L7,Full Stack,500000,"Sunnyvale, CA ",2020-09-20,0 , 20,175000 , 300000 , 25000
Apple,ICT4,ML / AI,240000,"Seattle, WA ",2020-09-17,1 , 20,180000 , 40000 , 20000
Amazon,L6,Web Development (Front-End),250000,"Seattle, WA ",2020-09-16,3 , 20,160000 , 90000 , N/A
Deloitte,L3,DevOps,229000,"Seattle, WA ",2020-09-13,2 , 20,217000 , N/A , 12000
Visa,L8,Product Management,250000,"Austin, TX ",2020-09-11,4 , 20,169000 , 50000 , 32000
Microsoft,64,Cloud,269000,"New York, NY ",2020-09-09,10 , 20,180000 , 35000 , 54000
Ericsson,JS8,DevOps,220000,"Seattle, WA ",2020-09-05,10 , 20,195000 , N/A , 25000
Amazon,L7,Retail,385000,"Seattle, WA ",2020-08-22,8 , 20,160000 , 200000 , 25000
Microsoft,66,Full Stack,349000,"Redmond, WA ",2020-08-18,17 , 20,210000 , 90000 , 49000
SRI International,Director,ML / AI,270000,"Menlo Park, CA ",2020-08-10,5 , 20,250000 , N/A , 20000
