Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Facebook,IC5,General,269000,"Seattle, WA ",2021-12-13,2 , 2,175000 , 68000 , 26000
Visa,Senior Data Scientist,general,231000,"Foster City, CA ",2021-12-10,2 , 2,180000 , 26000 , 25000
PwC,Associate,General,77000,"San Francisco, CA ",2021-12-10,2 , 2,70000 , N/A , 7000
Better Mortgage,L5,general,249000,"New York, NY ",2021-12-10,0 , 2,168000 , 60000 , 21000
EXL,C2,Analytics,116000,"New York, NY ",2021-12-09,0 , 2,92000 , N/A , 24000
Aetna,P2,General,141000,"New York, NY ",2021-12-08,2 , 2,134000 , N/A , 7000
Microsoft,63,Machine learning,222000,"Seattle, WA ",2021-12-08,2 , 2,168000 , 38000 , 17000
Uber,L4,ML,225000,"San Francisco, CA ",2021-12-08,2 , 2,150000 , 50000 , 25000
ByteDance,2-2,Data Scientist,232000,"San Francisco, CA ",2021-12-07,0 , 2,165000 , 45000 , 22000
Capital One,Senior Associate,Machine Learning,148000,"New York, NY ",2021-12-01,2 , 2,135000 , N/A , 13000
Bosch Global,E3,AI,175000,"Sunnyvale, CA ",2021-12-01,2 , 2,153000 , N/A , 22000
,L4,IT,80000,"Chicago, IL ",2021-11-29,2 , 2,70000 , N/A , 10000
IBM,Band 7,General,185000,"New York, NY ",2021-11-28,2 , 2,185000 , N/A , N/A
Zillow,P2,General,135000,"Seattle, WA ",2021-11-23,1 , 2,110000 , 15000 , 10000
Zillow,P2,General,173000,"Seattle, WA ",2021-11-20,1 , 2,135000 , 18000 , 20000
Facebook,IC4,Enterprise Product,244000,"Seattle, WA ",2021-11-19,2 , 2,164000 , 64000 , 16000
Uber,L3,ML/OR,213000,"Seattle, WA ",2021-11-19,2 , 2,138000 , 62000 , 14000
Microsoft,L59,Data Science,170000,"Seattle, WA ",2021-11-17,2 , 2,120000 , 30000 , 20000
Spotify,Data Scientist,General,154000,"New York, NY ",2021-11-16,2 , 2,124000 , 30000 , N/A
Amazon,L5,General,217000,"Seattle, WA ",2021-11-15,0 , 2,160000 , 37000 , 20000
Wells Fargo,L2,General,78000,"Denver, CO ",2021-11-12,2 , 2,71000 , N/A , 7000
Amazon,L4,General,170000,"Seattle, WA ",2021-11-12,0 , 2,125000 , 27000 , 18000
Facebook,IC4,Analytics,248000,"Menlo Park, CA ",2021-11-11,0 , 2,171000 , 60000 , 17000
Amazon,L5,General,214000,"Los Angeles, CA ",2021-11-08,2 , 2,150000 , 38000 , 26000
Autodesk,P2,Data science,150000,"San Francisco, CA ",2021-11-06,0 , 2,120000 , 20000 , 10000
Amazon,L4,General,157000,"Boston, MA ",2021-11-05,2 , 2,123000 , 18000 , 16000
JPMorgan Chase,601,NLP,124000,"New York, NY ",2021-11-04,2 , 2,110000 , N/A , 14000
Uber,L3,Data Analyst,130000,"San Francisco, CA ",2021-11-02,1 , 2,105000 , 13000 , 12000
Facebook,IC4,Product Analytics,245000,"New York, NY ",2021-11-02,0 , 2,168000 , 60000 , 17000
Microsoft,61,general,156000,"Redmond, WA ",2021-11-02,2 , 2,133000 , 11000 , 12000
Prudential Financial,10P,General,161000,"Newark, NJ ",2021-11-02,2 , 2,140000 , N/A , 21000
Facebook,L4,General,181000,"Menlo Park, CA ",2021-11-01,0 , 2,150000 , 16000 , 15000
Twitch,L4,Analytics,190000,"San Francisco, CA ",2021-11-01,0 , 2,139000 , 20000 , 31000
,L3,Modeler,101000,"Chicago, IL ",2021-11-01,1 , 2,96000 , N/A , 5000
Zynga,L2,Game Data Analyst,149000,"Austin, TX ",2021-10-31,0 , 2,110000 , 28000 , 11000
IBM,Band 6,machine learning,120000,"San Francisco, CA ",2021-10-29,2 , 2,120000 , N/A , N/A
Amazon,L5,BI,142000,"Seattle, WA ",2021-10-26,2 , 2,100000 , 42000 , N/A
Stitch Fix,L3,General,290000,"San Francisco, CA ",2021-10-19,2 , 2,190000 , 100000 , N/A
Dell Technologies,i7,general,105000,"Austin, TX ",2021-10-19,2 , 2,95000 , N/A , 10000
Microsoft,62,General,260000,"Redmond, WA ",2021-10-18,2 , 2,150000 , 90000 , 20000
Oracle,IC-2,Machine learning,135000,"Boston, MA ",2021-10-15,0 , 2,110000 , 25000 , N/A
Verisk,L1,Modeling,110000,"San Francisco, CA ",2021-10-15,2 , 2,100000 , N/A , 10000
Facebook,L4,Analytics,245000,"Menlo Park, CA ",2021-10-14,0 , 2,155000 , 50000 , 40000
Amazon,L5,General,254000,"Seattle, WA ",2021-10-11,0 , 2,160000 , 47000 , 47000
Facebook,L3,Full Stack,200000,"San Francisco, CA ",2021-10-11,0 , 2,200000 , N/A , N/A
Facebook,E4,Product Analytics,232000,"Menlo Park, CA ",2021-10-07,0 , 2,165000 , 50000 , 17000
NASA JPL,Data Scientist 1,Software development,114000,"Pasadena, CA ",2021-10-06,2 , 2,114000 , N/A , N/A
yahoo,IC2,Ads,198000,"San Jose, CA ",2021-10-04,2 , 2,150000 , 33000 , 15000
Coursera,Software Engineer II,General,383000,"Mountain View, CA ",2021-10-02,1 , 2,143000 , 240000 , N/A
Reddit,IC5,Data Science,315000,"New York, NY ",2021-09-29,0 , 2,230000 , 85000 , N/A
Ernst and Young,Senior Consultant,Technology Consultant,135000,"Austin, TX ",2021-09-28,0 , 2,125000 , N/A , 10000
IBM,Band 7,Client Facing,191000,"New York, NY ",2021-09-27,2 , 2,145000 , N/A , 46000
Amazon,L4,General,130000,"Seattle, WA ",2021-09-23,1 , 2,109000 , 11000 , 10000
Wayfair,L2,General,165000,"Boston, MA ",2021-09-22,2 , 2,150000 , N/A , 15000
Amazon,L5,ML,213000,"Seattle, WA ",2021-09-22,0 , 2,145000 , 45000 , 23000
Facebook,IC4,Analytics,224000,"Menlo Park, CA ",2021-09-20,0 , 2,158000 , 50000 , 16000
Amazon,L4,general,141000,"Seattle, WA ",2021-09-11,0 , 2,120000 , 21000 , N/A
Amazon,L5,Data Scientist,210000,"Seattle, WA ",2021-09-09,1 , 2,135000 , 43000 , 32000
Twitter,L4,Ads,254000,"San Francisco, CA ",2021-09-05,0 , 2,166000 , 63000 , 25000
Disney,P3,General,166000,"Los Angeles, CA ",2021-08-31,2 , 2,140000 , 16000 , 10000
Intuit,Senior,,211000,"Mountain View, CA ",2021-08-31,0 , 2,155000 , 30000 , 26000
Ernst and Young,Senior Consultant,Data Science,115000,"New York, NY ",2021-08-31,2 , 2,110000 , N/A , 5000
realtor.com,L2,General,157000,"Austin, TX ",2021-08-31,2 , 2,149000 , N/A , 9000
Microsoft,60,General,188000,"Seattle, WA ",2021-08-30,2 , 2,128000 , 40000 , 20000
Turo,L2,General,170000,"San Francisco, CA ",2021-08-30,0 , 2,155000 , N/A , 15000
Ernst and Young,Senior Consultant,FSO DnA,140000,"New York, NY ",2021-08-28,2 , 2,125000 , N/A , 15000
Twitter,L4,Ads,197000,"San Francisco, CA ",2021-08-27,0 , 2,145000 , 38000 , 15000
NBCUniversal,L1,General,113000,"New York, NY ",2021-08-26,2 , 2,113000 , N/A , N/A
Microsoft,62,General,208000,"Seattle, WA ",2021-08-24,2 , 2,160000 , 24000 , 24000
eBay,Software Engineer 3,Advertising,186000,"San Francisco, CA ",2021-08-24,1 , 2,160000 , 10000 , 16000
Robinhood,L2,Product,208000,"Menlo Park, CA ",2021-08-24,0 , 2,145000 , 44000 , 20000
ZipRecruiter,Data Analyst,Product,134000,"Los Angeles, CA ",2021-08-21,1 , 2,108000 , 19000 , 8000
Gap,Associate,General,135000,"San Francisco, CA ",2021-08-20,1 , 2,125000 , N/A , 10000
Microsoft,63,Machine Learning,225000,"Redmond, WA ",2021-08-18,2 , 2,168000 , 32000 , 25000
Uber,L3,General,165000,"San Francisco, CA ",2021-08-18,2 , 2,120000 , 30000 , 15000
Microsoft,62,Machine Learning,276000,"Seattle, WA ",2021-08-17,2 , 2,159000 , 98000 , 19000
Facebook,L4,Data Engineering,233000,"Menlo Park, CA ",2021-08-16,2 , 2,157000 , 60000 , 16000
Oracle,IC-2,Data Science,153000,"Seattle, WA ",2021-08-11,2 , 2,125000 , 23000 , 5000
BCG,Data Scientist,Data Science,158000,"Chicago, IL ",2021-08-10,0 , 2,132000 , N/A , 26000
Amazon,L4,NLP,179000,"Seattle, WA ",2021-08-04,1 , 2,150000 , N/A , 29000
The Climate Corporation,L3,General,130000,"Chicago, IL ",2021-07-29,1 , 2,118000 , 4000 , 8000
IBM,Band 6,Blockchain,105000,"New York, NY ",2021-07-26,2 , 2,105000 , N/A , N/A
Twitter,DS 2,DS,225000,"San Francisco, CA ",2021-07-24,0 , 2,160000 , 50000 , 15000
Microsoft,62,machine learning,225000,"Seattle, WA ",2021-07-21,2 , 2,155000 , 50000 , 20000
PayPal,L2,Data Scientist,158000,"New York, NY ",2021-07-19,1 , 2,108000 , 40000 , 10000
Google,L3,data analyst,175000,"San Francisco, CA ",2021-07-18,1 , 2,150000 , 20000 , 5000
Cruise,Senior Data Scientist,General,345000,"San Francisco, CA ",2021-07-15,0 , 2,200000 , 85000 , 60000
JPMorgan Chase,Analyst,Chase,85000,"New York, NY ",2021-07-14,2 , 2,80000 , N/A , 5000
CVS Health,P4,general,142000,"New York, NY ",2021-07-14,2 , 2,132000 , N/A , 10000
Walmart Global Tech,L4,Ml,243000,"Sunnyvale, CA ",2021-07-14,0 , 2,170000 , 23000 , 50000
Nvidia,IC2,General,168000,"Santa Clara, CA ",2021-07-11,2 , 2,140000 , 30000 , N/A
Microsoft,62,General,212000,"Redmond, WA ",2021-07-09,2 , 2,135000 , 58000 , 19000
Komodo Health,L2,Analytics Consulting,157000,"New York, NY ",2021-07-07,0 , 2,105000 , 40000 , 12000
McKinsey,L4,General,140000,"Boston, MA ",2021-07-07,2 , 2,125000 , N/A , 15000
JPMorgan Chase,Senior Associate,Machine Learning,150000,"New York, NY ",2021-07-06,2 , 2,130000 , N/A , 20000
Uber,L4,General,259000,"San Francisco, CA ",2021-07-05,2 , 2,150000 , 79000 , 30000
Facebook,IC4,analytics,246000,"Menlo Park, CA ",2021-07-01,2 , 2,160000 , 70000 , 16000
Adobe,Software Engineer 2,Cloud,195000,"San Jose, CA ",2021-07-01,0 , 2,145000 , 35000 , 15000
Wayfair,L2,ML,168000,"Boston, MA ",2021-07-01,2 , 2,125000 , 30000 , 13000
Chime,L4,Risk,295000,"San Francisco, CA ",2021-07-01,0 , 2,150000 , 130000 , 15000
Asana,L4,General,205000,"San Francisco, CA ",2021-06-30,2 , 2,155000 , 50000 , N/A
Facebook,E4,General,250000,"Seattle, WA ",2021-06-29,2 , 2,149000 , 72000 , 30000
ICE Mortgage Technology,L3,General,139000,"Pleasanton, CA ",2021-06-25,2 , 2,131000 , 8000 , N/A
Oracle,IC-2,General,140000,"Denver, CO ",2021-06-25,2 , 2,120000 , 20000 , N/A
Walmart Global Tech,E3,ML,193000,"Seattle, WA ",2021-06-24,0 , 2,145000 , 25000 , 23000
Spotify,Associate Engineer,General,150000,"New York, NY ",2021-06-24,0 , 2,121000 , 23000 , 4000
Fidelity Investments,L6,data scient,176000,"Boston, MA ",2021-06-24,0 , 2,145000 , N/A , 31000
Google,L4,IOS,130000,"Hawaiian Gardens, CA ",2021-06-23,2 , 2,100000 , 3000 , 27000
JPMorgan Chase,Analyst,Asset management,125000,"New York, NY ",2021-06-21,2 , 2,100000 , N/A , 25000
IBM,B7,Finance and Operations,140000,"Armonk, NY ",2021-06-18,2 , 2,140000 , N/A , N/A
Bank of America Merrill Lynch,B5,Analytics,97000,"New York, NY ",2021-06-16,1 , 2,97000 , N/A , N/A
Squarespace,L3,Product,155000,"New York, NY ",2021-06-14,2 , 2,136000 , 23000 , N/A
Facebook,L4,General,210000,"Seattle, WA ",2021-06-10,0 , 2,150000 , 45000 , 15000
IBM,B8,Finance & Operations,170000,"Armonk, NY ",2021-06-08,2 , 2,170000 , N/A , N/A
KPMG,Associate,General,95000,"New York, NY ",2021-06-07,2 , 2,95000 , N/A , N/A
IBM,Band 6,General,110000,"San Jose, CA ",2021-06-03,2 , 2,100000 , N/A , 10000
American Express,B35,Enterprise Digital and Analytics,130000,"New York, NY ",2021-06-02,2 , 2,115000 , N/A , 15000
Etsy,Software Engineer II,Machine Learning,185000,"Brooklyn, NY ",2021-05-25,1 , 2,160000 , 20000 , 5000
Amazon,L4,data,150000,"San Francisco, CA ",2021-05-24,2 , 2,112000 , 38000 , N/A
WarnerMedia,L2,General,128000,"New York, NY ",2021-05-24,2 , 2,120000 , N/A , 8000
BNP Paribas,L4,ML,115000,"New York, NY ",2021-05-19,0 , 2,115000 , N/A , N/A
Facebook,IC4,infra,278000,"Menlo Park, CA ",2021-05-19,2 , 2,190000 , 80000 , 10000
Cisco,L4,ML/AI,90000,"San Jose, CA ",2021-05-18,2 , 2,83000 , 1000 , 6000
Genentech,E4,General,274000,"San Francisco, CA ",2021-05-14,2 , 2,183000 , 46000 , 45000
IBM,Band 7,General,140000,"New York, NY ",2021-05-12,2 , 2,106000 , N/A , 34000
Visa,L5,Deep Learning,142000,"Foster City, CA ",2021-05-11,1 , 2,122000 , 8000 , 12000
Uber,L3,Marketing,182000,"San Francisco, CA ",2021-05-11,0 , 2,138000 , 31000 , 14000
