Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Compass,M7,Technical,613000,"Seattle, WA ",2022-03-08,2 , 20,313000 , 250000 , 50000
Electronic Arts,Sr Director,Product,565000,"Redwood City, CA ",2022-03-07,10 , 20,240000 , 175000 , 150000
Amazon,Principal Product Manager,Healthcare,165000,"Chicago, IL ",2022-03-03,3 , 20,140000 , 25000 , N/A
McAfee,Group Product Manager,Product,292000,"San Jose, CA ",2022-02-28,2 , 20,222000 , 25000 , 45000
Salesforce,VP,Operations,615000,"San Francisco, CA ",2022-02-24,2 , 20,320000 , 200000 , 95000
Compass,M5,Product,390000,"Seattle, WA ",2022-02-18,1 , 20,250000 , 100000 , 40000
Amazon,Senior Product Manager,Technical,250000,"Seattle, WA ",2022-02-16,7 , 20,150000 , 100000 , N/A
Google,Senior Director / VP,Product,986000,"San Francisco, CA ",2022-02-09,17 , 20,380000 , 500000 , 106000
Walmart Global Tech,x8,Consumer,542000,"San Bruno, CA ",2022-02-08,5 , 20,262000 , 200000 , 80000
Snowflake,IC6,Product,707000,"Dublin, CA ",2022-02-07,1 , 20,247000 , 400000 , 60000
Amazon,Principal Product Manager,Technical,440000,"Seattle, WA ",2022-02-07,9 , 20,160000 , 280000 , N/A
Amazon,Principal Product Manager,Technical,400000,"Seattle, WA ",2022-02-03,3 , 20,160000 , 240000 , N/A
Amazon,Senior Product Manager,Technical,330000,"Seattle, WA ",2022-02-03,1 , 20,160000 , 170000 , N/A
PayPal,T28,Product,535000,"San Jose, CA ",2022-01-31,4 , 20,255000 , 200000 , 80000
Amazon,Principal Product Manager,Product,400000,"Boston, MA ",2022-01-31,8 , 20,160000 , 240000 , N/A
Pure Storage,L6,Product,470000,"Mountain View, CA ",2022-01-30,1 , 20,240000 , 170000 , 60000
,L7,Product,520000,"Seattle, WA ",2022-01-29,15 , 20,160000 , 360000 , N/A
JPMorgan Chase,604,Growth,440000,"New York, NY ",2022-01-24,5 , 20,250000 , 38000 , 152000
Uber,Senior Product Manager II,Product,543000,"San Francisco, CA ",2022-01-21,1 , 20,240000 , 260000 , 43000
Walmart,L5,Consumer,290000,"Sunnyvale, CA ",2022-01-18,1 , 20,180000 , 80000 , 30000
Johnson Controls,Director,Product,300000,"Los Angeles, CA ",2022-01-17,20 , 20,200000 , 40000 , 60000
JPMorgan Chase,604,Mobile (iOS + Android),400000,"Jersey City, NJ ",2022-01-12,0 , 20,250000 , 30000 , 120000
Flexport,M4,Product,287000,"Seattle, WA ",2022-01-12,2 , 20,247000 , N/A , 40000
Walmart,L9,Consumer,734000,"New York, NY ",2022-01-10,6 , 20,340000 , 275000 , 119000
Amazon,Senior Product Manager,Product,195000,"Seattle, WA ",2022-01-07,2 , 20,140000 , 42000 , 13000
Amazon,Principal Product Manager,Technical,390000,"Seattle, WA ",2022-01-07,7 , 20,150000 , 240000 , N/A
Amazon,Senior Product Manager,Technical,350000,"San Francisco, CA ",2022-01-06,6 , 20,160000 , 190000 , N/A
Amazon,Principal Product Manager,Product,610000,"Seattle, WA ",2022-01-06,4 , 20,160000 , 300000 , 150000
Oracle,M6,Product,1700000,"Redwood City, CA ",2022-01-02,4 , 20,380000 , 1.3M , 20000
T-Mobile,L7,Technical,221000,"Seattle, WA ",2021-12-31,0 , 20,180000 , 5000 , 36000
Microsoft,63,Internal,199000,"Redmond, WA ",2021-12-30,4 , 20,162000 , 19000 , 18000
Amazon,L8,Consumer,740000,"Seattle, WA ",2021-12-30,7 , 20,160000 , 580000 , N/A
Amazon,L7,Technical,377000,"Seattle, WA ",2021-12-29,1 , 20,152000 , 145000 , 80000
Amazon,L7,Product,475000,"Boston, MA ",2021-12-23,4 , 20,160000 , 315000 , N/A
Amazon,L6,Product,420000,"New York, NY ",2021-12-20,3 , 20,182000 , 238000 , N/A
Google,L6,Product,410000,"Seattle, WA ",2021-12-16,7 , 20,205000 , 150000 , 55000
Johnson Controls,Director Product Management,Technical,230000,"Los Angeles, CA ",2021-12-15,8 , 20,185000 , 20000 , 25000
Barclays,VP,Product,238000,"New York, NY ",2021-12-11,14 , 20,210000 , N/A , 28000
Wells Fargo,L6,Technical,221000,"San Francisco, CA ",2021-12-08,12 , 20,170000 , 17000 , 34000
SiriusXM,Senior Manager,Technical,155000,"New York, NY ",2021-12-03,1 , 20,140000 , 5000 , 10000
AMD,L10,Technical,410000,"Austin, TX ",2021-11-29,4 , 20,225000 , 100000 , 85000
JPMorgan Chase,603,Technical,197000,"New York, NY ",2021-11-27,5 , 20,185000 , N/A , 12000
Dell Technologies,M10,Technical,212000,"Round Rock, TX ",2021-11-27,11 , 20,165000 , 7000 , 40000
Microsoft,64,Enterprise,265000,"Redmond, WA ",2021-11-26,6 , 20,180000 , 45000 , 40000
Microsoft,67,Product,545000,"Redmond, WA ",2021-11-18,16 , 20,254000 , 202000 , 90000
Amazon,L7,Technical,375000,"Seattle, WA ",2021-11-10,9 , 20,160000 , 215000 , N/A
Microsoft,66,Technical,400000,"Seattle, WA ",2021-11-05,10 , 20,230000 , 110000 , 60000
Uber,L6,Infrastructure,800000,"San Francisco, CA ",2021-11-02,4 , 20,270000 , 450000 , 80000
Microsoft,65,Enterprise,334000,"Seattle, WA ",2021-11-01,0 , 20,198000 , 76000 , 60000
Box,Senior Director,Enterprise,935000,"Redwood City, CA ",2021-10-29,2 , 20,324000 , 530000 , 81000
