Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Squarespace,L4,Web Development (Front-End),225000,"New York, NY ",2022-03-03,2 , 4,180000 , 45000 , N/A
Goldman Sachs,associate,Product,160000,"New York, NY ",2022-03-03,4 , 4,130000 , N/A , 30000
Apple,ICT3,Technical,250000,"Cupertino, CA ",2022-03-01,1 , 4,165000 , 60000 , 25000
Grubhub,Senior Product Manager,Analytic,210000,"New York, NY ",2022-03-01,1 , 4,155000 , 35000 , 20000
Facebook,L5 Product Manager,Consumer Products,350000,"Menlo Park, CA ",2022-03-01,4 , 4,190000 , 104000 , 56000
Uber,Product Manager I,Product,187000,"San Francisco, CA ",2022-02-24,1 , 4,135000 , 37000 , 15000
Capital One,Manager,Product,178000,"New York, NY ",2022-02-24,4 , 4,163000 , N/A , 15000
Cvent,1,Product,90000,"Elgin, IL ",2022-02-23,1 , 4,85000 , N/A , 5000
Wayfair,L4,Product,256000,"Boston, MA ",2022-02-20,2 , 4,150000 , 83000 , 23000
Amazon,Senior Product Manager,Operations,138000,"Chicago, IL ",2022-02-19,4 , 4,108000 , 30000 , N/A
Palo Alto Networks,T9,Networking,232000,"San Francisco, CA ",2022-02-17,1 , 4,170000 , 25000 , 37000
Visa,Senior Manager,Product,264000,"San Francisco, CA ",2022-02-16,4 , 4,195000 , 39000 , 30000
Amazon,Product Manager,Technical,260000,"New York, NY ",2022-02-16,4 , 4,180000 , 44000 , 36000
Clever Devices,L4,Product,155000,"Woodbury, NY ",2022-02-16,4 , 4,140000 , N/A , 15000
Goldman Sachs,L4,Data,176000,"New York, NY ",2022-02-16,4 , 4,135000 , N/A , 41000
ServiceNow,IC3,Product,205000,"San Francisco, CA ",2022-02-16,0 , 4,150000 , 40000 , 15000
JumpCloud,L4,Product,190000,"San Francisco, CA ",2022-02-15,1 , 4,160000 , 30000 , N/A
Affinity,Senior PM,Enterprise,175000,"San Francisco, CA ",2022-02-14,2 , 4,175000 , N/A , N/A
Goldman Sachs,L5,Product,176000,"New York, NY ",2022-02-12,4 , 4,135000 , N/A , 41000
JPMorgan Chase,602,Product,150000,"New York, NY ",2022-02-11,1 , 4,135000 , N/A , 15000
Microsoft,63,Consumer,288000,"Redmond, WA ",2022-02-10,4 , 4,167000 , 94000 , 27000
Workday,P2,Product,151000,"Pleasanton, CA ",2022-02-10,4 , 4,116000 , 35000 , N/A
Visa,L4,Analytic,140000,"San Francisco, CA ",2022-02-09,2 , 4,120000 , 10000 , 10000
MongoDB,PM,Product,240000,"New York, NY ",2022-02-09,1 , 4,150000 , 60000 , 30000
Amazon,Senior Product Manager,Product,230000,"Chicago, IL ",2022-02-09,4 , 4,130000 , 100000 , N/A
Amazon,Senior Product Manager,Product,187000,"Seattle, WA ",2022-02-08,4 , 4,128000 , 50000 , 9000
American Express,35,User Journey,154000,"New York, NY ",2022-02-08,1 , 4,138000 , N/A , 16000
Walmart Global Tech,x5,Product,296000,"Hoboken, NJ ",2022-02-05,2 , 4,180000 , 80000 , 36000
Aetna,Lead,Analytic,206000,"New York, NY ",2022-02-04,0 , 4,175000 , N/A , 31000
Electronic Arts,L6,Technical,222000,"San Francisco, CA ",2022-02-03,0 , 4,170000 , 26000 , 26000
Plastiq,L1,Product,118000,"San Francisco, CA ",2022-01-31,2 , 4,118000 , N/A , N/A
Hitachi Vantara,L2,Product,144000,"Santa Clara, CA ",2022-01-31,3 , 4,132000 , N/A , 12000
Google,Product Manager 1,Product,234000,"Mountain View, CA ",2022-01-29,0 , 4,150000 , 61000 , 23000
SAP,T2,Enterprise,162000,"Palo Alto, CA ",2022-01-28,3 , 4,145000 , 1000 , 16000
Zulily,Contract,Product,125000,"Seattle, WA ",2022-01-27,0 , 4,125000 , N/A , N/A
Microsoft,63,Enterprise,219000,"Seattle, WA ",2022-01-27,4 , 4,161000 , 32000 , 26000
Google,Product Manager 2,Technical,290000,"Seattle, WA ",2022-01-22,0 , 4,165000 , 100000 , 25000
Expedia,K,Product,167000,"Seattle, WA ",2022-01-21,0 , 4,145000 , 5000 , 17000
Yahoo,IC4,Product,160000,"Los Angeles, CA ",2022-01-19,1 , 4,160000 , N/A , N/A
Amazon,Product Manager,Growth,165000,"Seattle, WA ",2022-01-19,1 , 4,125000 , 18000 , 23000
Morningstar,L4,Product,132000,"Chicago, IL ",2022-01-19,4 , 4,115000 , N/A , 17000
Amazon,Product Manager,Product,154000,"Seattle, WA ",2022-01-18,1 , 4,125000 , 18000 , 12000
6sense,Product Manager,Product,200000,"San Francisco, CA ",2022-01-16,0 , 4,140000 , 39000 , 21000
BlackRock,Associate,Product,170000,"New York, NY ",2022-01-14,4 , 4,140000 , N/A , 30000
T-Mobile,L8,Product,183000,"Bellevue, WA ",2022-01-13,1 , 4,150000 , 10000 , 23000
Plastiq,L2,Operations,140000,"San Francisco, CA ",2022-01-11,2 , 4,140000 , N/A , N/A
Amazon,Senior Product Manager,Product,200000,"Seattle, WA ",2022-01-10,4 , 4,120000 , 80000 , N/A
Walmart,X4,Product,213000,"San Francisco, CA ",2022-01-06,1 , 4,140000 , 45000 , 28000
Mastercard,L6,Product,185000,"New York, NY ",2022-01-01,0 , 4,160000 , N/A , 25000
Wayfair,L3,Technical,240000,"New York, NY ",2021-12-24,0 , 4,163000 , 61000 , 16000
Klarna,L4,Product,176000,"San Francisco, CA ",2021-12-23,1 , 4,166000 , 10000 , N/A
Sprout Social,1,Product,170000,"Chicago, IL ",2021-12-23,1 , 4,130000 , 40000 , N/A
NoRedInk,L3,Product,173000,"New York, NY ",2021-12-21,1 , 4,143000 , 30000 , N/A
Microsoft,L63,Technical,195000,"Redmond, WA ",2021-12-21,0 , 4,150000 , 25000 , 20000
Goldman Sachs,Associate,Consumer,114000,"New York, NY ",2021-12-20,4 , 4,94000 , N/A , 20000
,Senior Product Manager,Product,115000,"Los Angeles, CA ",2021-12-18,4 , 4,115000 , N/A , N/A
Zillow,L5,Product,286000,"Chicago, IL ",2021-12-17,1 , 4,185000 , 66000 , 35000
Google,L5,Product,316000,"San Francisco, CA ",2021-12-16,4 , 4,185000 , 99000 , 32000
SailPoint,L6,Enterprise,198000,"Austin, TX ",2021-12-15,1 , 4,160000 , 25000 , 13000
Capital One,Manager,Product,158000,"Chicago, IL ",2021-12-07,1 , 4,145000 , N/A , 13000
Amazon,L5,Product,230000,"Seattle, WA ",2021-12-06,0 , 4,145000 , 65000 , 20000
Microsoft,61,Product,170000,"Seattle, WA ",2021-12-01,1 , 4,135000 , 20000 , 15000
Amazon,L4,Product,123000,"Seattle, WA ",2021-12-01,1 , 4,93000 , 23000 , 7000
eClinicalWorks,Not applicable,Technical,110000,"Westborough, MA ",2021-11-30,4 , 4,95000 , N/A , 15000
Atlassian,P4,Consumer,227000,"San Jose, CA ",2021-11-30,0 , 4,155000 , 56000 , 16000
WePay,L3,Product,195000,"San Francisco, CA ",2021-11-27,1 , 4,155000 , N/A , 40000
Capital One,L4,Product,232000,"New York, NY ",2021-11-26,0 , 4,171000 , N/A , 61000
Convoy,L5,Growth,180000,"Seattle, WA ",2021-11-24,2 , 4,120000 , 60000 , N/A
NEXT Trucking,L4,Product,148000,"Chicago, IL ",2021-11-23,1 , 4,120000 , 10000 , 18000
TripAdvisor,PM II,Product,148000,"Boston, MA ",2021-11-18,2 , 4,115000 , 20000 , 13000
Indeed,L4,Product,193000,"Austin, TX ",2021-11-18,1 , 4,150000 , 28000 , 15000
DoorDash,E5,Product,350000,"San Francisco, CA ",2021-11-18,2 , 4,175000 , 175000 , N/A
Unity Technologies,Tech IC6,Technical,250000,"San Francisco, CA ",2021-11-17,0 , 4,150000 , 100000 , N/A
JPMorgan Chase,Senior Associate,Product,120000,"New York, NY ",2021-11-16,1 , 4,110000 , N/A , 10000
Chainlink Labs,L4,Product,200000,"San Francisco, CA ",2021-10-31,0 , 4,150000 , 50000 , N/A
Principal Financial Group,2,Product,141000,"Lambertville, NJ ",2021-10-28,4 , 4,123000 , N/A , 18000
Google,L4,Infrastructure,197000,"New York, NY ",2021-10-26,0 , 4,141000 , 35000 , 21000
Facebook,L5 Product Manager,Product,375000,"San Francisco, CA ",2021-10-25,0 , 4,180000 , 195000 , N/A
Microsoft,61,Internal,194000,"Redmond, WA ",2021-10-25,0 , 4,144000 , 30000 , 20000
Amazon,L5,Growth,170000,"Seattle, WA ",2021-10-23,4 , 4,120000 , 50000 , N/A
Amazon,L6,Consumer,190000,"Seattle, WA ",2021-10-21,4 , 4,128000 , 62000 , N/A
Intuit,PM2,Consumer,272000,"Mountain View, CA ",2021-10-14,0 , 4,185000 , 60000 , 27000
Google,L5,Analytic,258000,"Boulder, CO ",2021-10-12,4 , 4,148000 , 87000 , 23000
Amazon,L5,Operations,192000,"Seattle, WA ",2021-10-11,4 , 4,120000 , 72000 , N/A
Visa,Senior Product Manager,Product,196000,"New York, NY ",2021-10-11,0 , 4,175000 , N/A , 21000
Microsoft,61,Product,157000,"Redmond, WA ",2021-10-10,2 , 4,139000 , 4000 , 14000
Amazon,L6,Product,239000,"San Francisco, CA ",2021-10-05,0 , 4,158000 , 52000 , 29000
Care.com,Product Manager,Product,132000,"New York, NY ",2021-10-05,1 , 4,120000 , N/A , 12000
Ancestry,L4,Product,184000,"San Francisco, CA ",2021-09-30,0 , 4,160000 , 11000 , 13000
Bridgewater Associates,APM,Internal,145000,"Westport, CT ",2021-09-29,2 , 4,120000 , N/A , 25000
HubSpot,L3,N/A,148000,"Boston, MA ",2021-09-28,1 , 4,125000 , 23000 , N/A
Amazon,L6,Technical,226000,"Seattle, WA ",2021-09-28,0 , 4,144000 , 45000 , 37000
Microsoft,62,Consumer,176000,"Seattle, WA ",2021-09-23,3 , 4,145000 , 14000 , 17000
,N/A,Product,143000,"San Francisco, CA ",2021-09-19,2 , 4,140000 , 3000 , N/A
LaunchDarkly,L3,Product,160000,"San Francisco, CA ",2021-09-17,0 , 4,160000 , N/A , N/A
Visa,I5,Technical,115000,"San Francisco, CA ",2021-09-16,2 , 4,115000 , N/A , N/A
Samsara,L4,Product,221000,"San Francisco, CA ",2021-09-15,0 , 4,171000 , 50000 , N/A
Facebook,IC6,Infrastructure,337000,"Seattle, WA ",2021-09-14,1 , 4,215000 , 112000 , 10000
Microsoft,62,Product,212000,"Redmond, WA ",2021-09-14,4 , 4,155000 , 32000 , 25000
Amazon,L6,Technical,189000,"Seattle, WA ",2021-09-11,0 , 4,144000 , 45000 , N/A
,L2,Product,129000,"Seattle, WA ",2021-09-10,2 , 4,117000 , N/A , 12000
VMware,Senior Product Manager,Product,260000,"San Francisco, CA ",2021-09-10,2 , 4,178000 , 50000 , 32000
Amazon,L6,Technical,235000,"Boston, MA ",2021-09-05,0 , 4,145000 , 45000 , 45000
Clover Health,5,Product,229000,"San Francisco, CA ",2021-08-31,2 , 4,187000 , 14000 , 28000
Compass,IC4,Consumer,282000,"New York, NY ",2021-08-31,2 , 4,190000 , 92000 , N/A
Qualys,Product Manager,Product,230000,"Austin, TX ",2021-08-30,2 , 4,170000 , 30000 , 30000
Cisco,L9,Product,180000,"San Jose, CA ",2021-08-23,1 , 4,162000 , N/A , 18000
Google,L4,Product,250000,"Cambridge, MA ",2021-08-23,0 , 4,143000 , 86000 , 21000
Relativity,L6,Internal,143000,"Chicago, IL ",2021-08-22,2 , 4,130000 , N/A , 13000
MyFitnessPal,L2,Product,154000,"San Francisco, CA ",2021-08-21,2 , 4,140000 , N/A , 14000
T-Mobile,L8,Product,194000,"Seattle, WA ",2021-08-11,3 , 4,154000 , 15000 , 25000
Capital One,Manager,Product,186000,"New York, NY ",2021-08-10,0 , 4,170000 , N/A , 16000
LaunchDarkly,L3,Product,160000,"Oakland, CA ",2021-08-09,0 , 4,160000 , N/A , N/A
PagerDuty,L2,Product,160000,"San Francisco, CA ",2021-08-09,3 , 4,135000 , 25000 , N/A
Athenahealth,0,Product,160000,"Watertown, MA ",2021-08-05,2 , 4,137000 , N/A , 23000
Moody's,Assistant Director,Product,140000,"New York, NY ",2021-08-01,4 , 4,122000 , N/A , 18000
Facebook,IC4,Consumer,308000,"Menlo Park, CA ",2021-07-31,1 , 4,168000 , 115000 , 25000
LaunchDarkly,L3,Product,160000,"San Francisco, CA ",2021-07-29,0 , 4,160000 , N/A , N/A
Amazon,L5,Product,153000,"Seattle, WA ",2021-07-28,4 , 4,103000 , 50000 , N/A
Morgan Stanley,Associate,Technical,130000,"New York, NY ",2021-07-25,2 , 4,120000 , N/A , 10000
Dropbox,L2,Growth,150000,"San Francisco, CA ",2021-07-22,1 , 4,130000 , 10000 , 10000
IBM,Advisory Product Manager,Product,140000,"Austin, TX ",2021-07-22,4 , 4,140000 , N/A , N/A
Morgan Stanley,Associate,Analytic,140000,"New York, NY ",2021-07-22,0 , 4,120000 , N/A , 20000
Slack,Product Manager,Product,314000,"New York, NY ",2021-07-21,2 , 4,157000 , 142000 , 15000
Oracle,IC-2,Product,125000,"Seattle, WA ",2021-07-19,1 , 4,105000 , 17000 , 3000
Amazon,L6,Product,210000,"Seattle, WA ",2021-07-18,0 , 4,144000 , 41000 , 25000
Compass,IC3,Productivity Apps,225000,"New York, NY ",2021-07-06,1 , 4,165000 , 60000 , N/A
Expedia,K,Technical,190000,"Seattle, WA ",2021-07-01,0 , 4,170000 , 10000 , 10000
Oscar Health,P2,Product,223000,"New York, NY ",2021-06-30,1 , 4,150000 , 49000 , 24000
Workday,P2,Technical,150000,"Pleasanton, CA ",2021-06-29,4 , 4,116000 , 35000 , N/A
Square,L5,Product,305000,"San Francisco, CA ",2021-06-29,1 , 4,180000 , 125000 , N/A
Chime,L3,Technical,305000,"San Francisco, CA ",2021-06-26,0 , 4,170000 , 118000 , 17000
American Express,B30,Product,89000,"New York, NY ",2021-06-24,2 , 4,85000 , N/A , 4000
Google,L4,Product,197000,"Mountain View, CA ",2021-06-21,0 , 4,141000 , 35000 , 21000
TripAdvisor,L6,Consumer,177000,"Boston, MA ",2021-06-16,3 , 4,160000 , 17000 , N/A
VMware,Senior MTS,Product,257000,"Palo Alto, CA ",2021-06-14,2 , 4,176000 , 50000 , 32000
Microsoft,61,Technical,169000,"Redmond, WA ",2021-06-13,2 , 4,145000 , 10000 , 14000
Dropbox,IC4,Product,396000,"San Francisco, CA ",2021-06-10,0 , 4,217000 , 135000 , 43000
Amazon,L6,Operations,210000,"Seattle, WA ",2021-06-07,4 , 4,130000 , 80000 , N/A
Walmart Global Tech,x5,Technical,276000,"New York, NY ",2021-06-06,2 , 4,180000 , 60000 , 36000
PagerDuty,L2,Product,165000,"San Francisco, CA ",2021-06-04,4 , 4,145000 , 20000 , N/A
Apple,ICT4,Product,234000,"Austin, TX ",2021-06-01,0 , 4,180000 , 36000 , 18000
Workday,P4,Technical,244000,"Pleasanton, CA ",2021-05-26,0 , 4,200000 , 44000 , N/A
Microsoft,62,Product,170000,"Redmond, WA ",2021-05-26,4 , 4,140000 , 16000 , 14000
Convoy,L5,Product,271000,"Seattle, WA ",2021-05-22,4 , 4,156000 , 115000 , N/A
Amazon,l5,Product,216000,"Sunnyvale, CA ",2021-05-18,0 , 4,165000 , 6000 , 45000
VMware,P4,Enterprise,245000,"Palo Alto, CA ",2021-05-13,4 , 4,166000 , 37000 , 42000
Facebook,L5 Product Manager,Product,319000,"Menlo Park, CA ",2021-05-11,0 , 4,190000 , 100000 , 29000
Uber,PM 2,Enterprise,337000,"San Francisco, CA ",2021-05-03,0 , 4,167000 , 95000 , 75000
BlackRock,Associate,Technical,160000,"New York, NY ",2021-04-27,4 , 4,119000 , N/A , 41000
Intuit,Senior PM,Product,237000,"Mountain View, CA ",2021-04-24,4 , 4,167000 , 45000 , 25000
Boeing,L3,Product,120000,"Bellevue, WA ",2021-04-23,4 , 4,99000 , 12000 , 5000
Microsoft,61,Consumer,165000,"Redmond, WA ",2021-04-20,4 , 4,135000 , 10000 , 20000
Udacity,IC3,Product,232000,"Seattle, WA ",2021-04-13,0 , 4,165000 , 50000 , 17000
Amazon,L6,Technical,268000,"Seattle, WA ",2021-04-08,4 , 4,141000 , 127000 , N/A
Facebook,IC4,Product,219000,"Menlo Park, CA ",2021-04-05,1 , 4,160000 , 35000 , 24000
Facebook,M1,Product,250000,"San Francisco, CA ",2021-04-04,4 , 4,200000 , 25000 , 25000
Activision,N/A,Product,161000,"Santa Monica, CA ",2021-03-30,0 , 4,140000 , N/A , 21000
UBS,Associate Director,Technical,160000,"New York, NY ",2021-03-29,2 , 4,130000 , N/A , 30000
Cisco,Grade 4,Product,180000,"San Jose, CA ",2021-03-28,1 , 4,158000 , 7000 , 15000
Grubhub,L4,Product,132000,"Chicago, IL ",2021-03-24,2 , 4,120000 , 5000 , 3000
ServiceNow,IC3,Technical,250000,"Santa Clara, CA ",2021-03-17,4 , 4,155000 , 80000 , 15000
Amazon,L5,Operations,156000,"Seattle, WA ",2021-03-09,1 , 4,122000 , 23000 , 11000
Amazon,L5,Product,190000,"Seattle, WA ",2021-03-03,4 , 4,104000 , 86000 , N/A
98point6,Program Manager II,Growth,113000,"Seattle, WA ",2021-03-01,4 , 4,113000 , N/A , N/A
Amazon,Senior Product Manager,Product,230000,"Seattle, WA ",2021-02-18,4 , 4,130000 , 100000 , N/A
Indeed,L2,Product,130000,"Austin, TX ",2021-02-13,2 , 4,102000 , 13000 , 15000
Twitter,L4,Enterprise,155000,"San Francisco, CA ",2021-02-11,1 , 4,130000 , 20000 , N/A
DocuSign,P4,Enterprise,383000,"San Francisco, CA ",2021-02-05,2 , 4,175000 , 200000 , 8000
Microsoft,59,Product,176000,"Seattle, WA ",2021-02-03,4 , 4,111000 , 40000 , 25000
