Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
DXC Technology,L5,PL,100000,"Newark, NJ ",2021-11-18,16 , 19,100000 , N/A , N/A
Amazon,L6,Privacy,250000,"Seattle, WA ",2021-10-20,6 , 19,160000 , 90000 , N/A
Cisco,Grade 12,ops,330000,"San Jose, CA ",2021-09-24,16 , 19,185000 , 75000 , 70000
Google,l4,General,183000,"San Francisco, CA ",2021-08-26,0 , 19,145000 , 38000 , N/A
Microsoft,65,Azure,283000,"Seattle, WA ",2021-08-16,3 , 19,205000 , 45000 , 33000
Boeing,L5,Generalist,178000,"Renton, WA ",2021-07-05,19 , 19,168000 , N/A , 10000
Facebook,M1,AR/VR Hardware,606000,"Seattle, WA ",2021-06-28,3 , 19,226000 , 320000 , 60000
Facebook,IC6,General,481000,"Seattle, WA ",2021-02-04,1 , 19,220000 , 138000 , 123000
Facebook,L5,ML / AI,312000,"San Francisco, CA ",2021-01-23,3 , 19,195000 , 87000 , 30000
Microsoft,65,Data,290000,"Seattle, WA ",2021-01-22,1 , 19,200000 , 45000 , 45000
IBM,Band 9,Data,190000,"Austin, TX ",2020-10-16,7 , 19,187000 , N/A , 3000
Google,L4,Full Stack,221000,"Austin, TX ",2020-09-22,0 , 19,130000 , 71000 , 20000
Google,L5,Data,265000,"Seattle, WA ",2020-09-10,2 , 19,165000 , 80000 , 20000
Microsoft,66,Full Stack,350000,"Redmond, WA ",2020-09-03,16 , 19,224000 , 68000 , 58000
