Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Google,L3,API Development (Back-End),140000,"San Francisco, CA ",2022-02-18,2 , 2,110000 , 20000 , 10000
Amazon,L5,Distributed Systems (Back-End),219000,"Seattle, WA ",2021-10-21,2 , 2,144000 , 75000 , N/A
Buffer,L6,DevOps,178000,"San Francisco, CA ",2021-06-25,2 , 2,173000 , N/A , 5000
DraftKings,L5,Distributed Systems (Back-End),270000,"Boston, MA ",2021-05-12,2 , 2,210000 , 30000 , 30000
Rent the Runway,Engineering Manager,Full Stack,165000,"New York, NY ",2021-03-09,2 , 2,165000 , N/A , N/A
Facebook,E4,Distributed Systems (Back-End),266000,"Menlo Park, CA ",2021-02-20,2 , 2,160000 , 75000 , 31000
Google,L3,Android,179000,"San Francisco, CA ",2020-12-18,1 , 2,150000 , 9000 , 20000
vmware,m4,Distributed Systems (Back-End),258000,"Bellevue, WA ",2020-11-11,2 , 2,190000 , 30000 , 38000
Google,L3,Android,40000,"San Francisco, CA ",2020-10-17,2 , 2,40000 , N/A , N/A
Microsoft,61,ML / AI,159000,"Seattle, WA ",2020-08-19,2 , 2,133000 , 7000 , 19000
Axon,OM1,Full Stack,230000,"Seattle, WA ",2020-01-08,4 , 2,145000 , 70000 , 15000
Oracle,M2,Cloud storage,158000,"Broomfield, CO ",2019-10-21,3 , 2,138000 , 20000 , N/A
IBM,9,Testing (SDET),198000,"Boston, MA ",2019-06-17,2 , 2,,,
Visa,L7,API Development (Back-End),125000,"Palo Alto, CA ",2019-04-04,2 , 2,110000 , N/A , 15000
Amazon,L5,Full Stack,185000,"Seattle, WA ",2019-01-30,2 , 2,,,
