Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Amazon,7,Full Stack,326000,"Seattle, WA ",2018-10-01,6 , 8,154000 , 172000 , N/A
LinkedIn,Senior Product Manager,ML / AI,300000,"Sunnyvale, CA ",2018-09-20,1 , 8,185000 , 90000 , 30000
Cornerstone OnDemand,Senior,iOS,175000,"Los Angeles, CA ",2018-09-07,1 , 8,,,
Google,L4,PM,230000,"Mountain View, CA ",2018-09-03,0 , 8,,,
Amazon,L6,Mobile (iOS + Android),230000,"Seattle, WA ",2018-08-23,2 , 8,,,
Google,L4,,230000,"Mountain View, CA ",2018-07-07,1 , 8,,,
Intuit,Senior Product Manager,Mobile (iOS + Android),290000,"Mountain View, CA ",2018-06-29,2 , 8,,,
Microsoft,63,ML / AI,350000,"Sunnyvale, CA ",2018-06-11,1 , 8,,,
Microsoft,63,Distributed Systems (Back-End),176000,"Redmond, WA ",2018-06-06,4 , 8,,,
Amazon,L6,,190000,"Seattle, WA ",2018-03-30,1.5 , 8,,,
Zynga,Director,,460000,"San Francisco, CA ",2018-02-09,3.5 , 8,,,
