Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
VMware,M3,Distributed Systems (Back-End),287000,"San Francisco, CA ",2022-03-03,4 , 4,235000 , 12000 , 40000
Amazon,L6 SDM,Distributed Systems (Back-End),450000,"Seattle, WA ",2022-02-28,4 , 4,250000 , 200000 , N/A
Articulate,L1,Full Stack,213000,"New York, NY ",2022-02-21,4 , 4,185000 , N/A , 28000
Atlassian,M3,Security,271000,"Austin, TX ",2022-02-17,0 , 4,170000 , 75000 , 26000
iCIMS,1,Full Stack,134000,"Holmdel, NJ ",2022-02-16,4 , 4,120000 , N/A , 14000
Workday,M1,API Development (Back-End),353000,"Pleasanton, CA ",2022-01-31,4 , 4,198000 , 135000 , 20000
Nvidia,IC3,Kernel,268000,"Redmond, WA ",2022-01-19,0 , 4,175000 , 63000 , 30000
Salesforce,Senior Manager,Backend,317000,"San Francisco, CA ",2022-01-19,4 , 4,215000 , 70000 , 32000
MongoDB,Lead Engineer,API Development (Back-End),615000,"New York, NY ",2021-12-30,4 , 4,185000 , 430000 , N/A
Asana,L5,DevOps,391000,"San Francisco, CA ",2021-12-20,2 , 4,191000 , 200000 , N/A
Microsoft,62,Distributed Systems (Back-End),254000,"Seattle, WA ",2021-12-14,4 , 4,153000 , 75000 , 25000
Twitter,Senior SWE,ML / AI,330000,"San Francisco, CA ",2021-11-10,4 , 4,180000 , 130000 , 20000
AMD,L7,ML / AI,201000,"Bellevue, WA ",2021-11-09,4 , 4,140000 , 40000 , 21000
Google,L4,Android,300000,"San Francisco, CA ",2021-11-08,4 , 4,150000 , 130000 , 20000
Nordstrom,L18,Full Stack,267000,"Seattle, WA ",2021-10-13,1 , 4,205000 , N/A , 62000
Bill.com,L6,Full Stack,408000,"San Jose, CA ",2021-10-06,1 , 4,220000 , 188000 , N/A
Smartsheet,7,Full Stack,300000,"Seattle, WA ",2021-09-08,2 , 4,190000 , 90000 , 20000
Microsoft,62,Distributed Systems (Back-End),296000,"Redmond, WA ",2021-09-03,4 , 4,153000 , 107000 , 35000
Snap,L6,Full Stack,636000,"San Francisco, CA ",2021-08-26,1 , 4,240000 , 360000 , 36000
Amazon,L5,API Development (Back-End),222000,"Seattle, WA ",2021-08-09,4 , 4,150000 , 72000 , N/A
Verizon,BAND 7,DevOps,188000,"San Jose, CA ",2021-08-05,4 , 4,143000 , 30000 , 15000
Google,L5,Full Stack,413000,"San Francisco, CA ",2021-05-23,1 , 4,224000 , 150000 , 39000
Wayfair,L3,Full Stack,205000,"Boston, MA ",2021-05-06,4 , 4,131000 , 61000 , 13000
Rent the Runway,Software Engineering Manager,Full Stack,165000,"New York, NY ",2021-03-31,4 , 4,165000 , N/A , N/A
Informatica,M3,API Development (Back-End),224000,"Redwood City, CA ",2021-02-20,4 , 4,195000 , N/A , 29000
Microsoft,63,API Development (Back-End),197000,"Redmond, WA ",2021-02-16,3 , 4,155000 , 20000 , 22000
SingleStore,L6,API Development (Back-End),330000,"San Francisco, CA ",2021-02-14,4 , 4,185000 , 120000 , 28000
Amazon,L5,Networking,248000,"Seattle, WA ",2021-02-09,2 , 4,160000 , 88000 , N/A
BlackRock,L3,Full Stack,215000,"New York, NY ",2021-01-18,4 , 4,150000 , N/A , 65000
Palantir,N/A,Full Stack,335000,"New York, NY ",2020-11-17,4 , 4,180000 , 145000 , 10000
Box,Senior Manager,Site Reliability (SRE),344000,"Redwood City, CA ",2020-09-27,2 , 4,235000 , 108000 , N/A
Box,Sr Manager,Site Reliability (SRE),236000,"Redwood City, CA ",2020-09-17,2 , 4,236000 , N/A , N/A
Baidu,T5,ML / AI,270000,"San Francisco, CA ",2020-08-30,2 , 4,150000 , 90000 , 30000
Google,L4,Full Stack,144000,"Los Angeles, CA ",2020-08-14,2 , 4,130000 , 2000 , 12000
Workday,M3,Distributed Systems (Back-End),285000,"Pleasanton, CA ",2020-05-12,4 , 4,185000 , 100000 , N/A
Walmart Global Tech,L6,ML / AI,370000,"Sunnyvale, CA ",2020-05-07,4 , 4,230000 , 90000 , 50000
Facebook,M1,ML / AI,548000,"Menlo Park, CA ",2019-12-12,2 , 4,219000 , 285000 , 44000
Facebook,IC5,Distributed Systems (Back-End),480000,"Menlo Park, CA ",2019-09-29,0 , 4,205000 , 175000 , 100000
MITRE,4,DevOps,134000,"Boston, MA ",2019-07-29,1 , 4,134000 , N/A , N/A
Intuit,Staff Software Engineer,Full Stack,240000,"Mountain View, CA ",2019-07-27,4 , 4,185000 , 25000 , 30000
Facebook,M1,Full Stack,490000,"Menlo Park, CA ",2019-06-29,4 , 4,220000 , 220000 , 50000
Bloomberg,Senior Manager,Distributed Systems (Back-End),320000,"New York, NY ",2019-03-28,10 , 4,250000 , N/A , 70000
Apple,M,ML / AI,500000,"Cupertino, CA ",2019-03-15,4 , 4,210000 , 250000 , 40000
Amazon,L5 SDM,Full Stack,230000,"Seattle, WA ",2019-03-13,4 , 4,153000 , 80000 , N/A
Amazon,L5 SDM,Security,310000,"San Francisco, CA ",2019-02-15,4 , 4,,,
Amazon,L6 SDM,Distributed Systems (Back-End),345000,"New York, NY ",2018-11-26,4 , 4,,,
Bloomberg,Senior,ML / AI,360000,"New York, NY ",2018-11-01,4 , 4,275000 , N/A , 85000
Apple,M1,Firmware,325000,"Cupertino, CA ",2018-10-14,4 , 4,177000 , 122000 , 26000
Microsoft,64,,230000,"Redmond, WA ",2018-05-22,4 , 4,,,
