Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Amazon,Senior Product Manager,Infrastructure,350000,"Santa Clara, CA ",2022-03-03,2 , 17,180000 , 170000 , N/A
Texas Instruments,JG30,Product,290000,"Boulder, CO ",2022-02-25,17 , 17,200000 , 35000 , 55000
LivePerson,L4,Technical,425000,"Seattle, WA ",2022-02-24,2 , 17,205000 , 190000 , 30000
Amazon,Senior Product Manager Tech,Technical,245000,"Seattle, WA ",2022-02-16,5 , 17,137000 , 108000 , N/A
Google,Product Manager 1,Product,436000,"San Francisco, CA ",2022-02-10,7 , 17,211000 , 184000 , 41000
Alaska Airlines,AP1,Product,170000,"Seattle, WA ",2022-02-09,1 , 17,155000 , N/A , 15000
,65,Technical,303000,"Redmond, WA ",2022-02-08,13 , 17,203000 , 55000 , 45000
Expedia,O,Product,395000,"Seattle, WA ",2022-02-04,15 , 17,275000 , 60000 , 60000
Microsoft,65,Product,270000,"Seattle, WA ",2022-01-27,6 , 17,190000 , 40000 , 40000
Goldman Sachs,Senior VP,Infrastructure,300000,"New York, NY ",2022-01-24,13 , 17,220000 , 10000 , 70000
Microsoft,65,Distributed Systems (Back-End),378000,"Seattle, WA ",2022-01-20,2 , 17,206000 , 100000 , 72000
Zendesk,Senior Manager,Internal,314000,"Boston, MA ",2022-01-14,4 , 17,176000 , 120000 , 18000
Dell Technologies,L9,Product,180000,"Austin, TX ",2022-01-06,6 , 17,150000 , 8000 , 23000
ADP,L4,Product,165000,"Florham Park, NJ ",2021-12-16,9 , 17,150000 , N/A , 15000
Amazon,L7,Operations,450000,"Seattle, WA ",2021-11-19,13 , 17,160000 , 290000 , N/A
Amazon,L7,Product,450000,"Seattle, WA ",2021-11-15,8 , 17,160000 , 290000 , N/A
Microsoft,66,Enterprise,385000,"Seattle, WA ",2021-11-11,8 , 17,185000 , 150000 , 50000
Zulily,P4,Technical,305000,"Seattle, WA ",2021-11-10,3 , 17,220000 , 40000 , 45000
Amazon,L6,Product,226000,"Seattle, WA ",2021-10-15,9 , 17,180000 , 46000 , N/A
T-Mobile,L8,Product,215000,"Bellevue, WA ",2021-09-21,5 , 17,157000 , 15000 , 43000
Amazon,L6,Growth,325000,"Santa Clara, CA ",2021-09-03,4 , 17,180000 , 145000 , N/A
Amazon,IC6,Technical,296000,"New York, NY ",2021-09-02,4 , 17,146000 , 150000 , N/A
Amazon,L7,Operations,475000,"Seattle, WA ",2021-08-15,10 , 17,155000 , 320000 , N/A
WeWork,L7,Internal,363000,"New York, NY ",2021-07-31,3 , 17,250000 , 50000 , 63000
Cisco,Grade 11,Analytic,185000,"San Jose, CA ",2021-07-27,3 , 17,150000 , 10000 , 25000
